#name=My Kanji N2
#description=My JLPT N2
KANJI;ONKUN;RUS
悩;ノウ・なや(む)・なや(ましい);страдать, мучаться, мучительный
憎;ゾウ・にく(む)・にく(い)・にく(らしい)・にく(しみ);ненавидеть, ненавистный, противный, ненависть
承;ショウ・うけたまわ(る)・う(ける);соглашаться, слушать, слушать, наследовать
抜;バツ・ハツ・ハイ・ぬ(く)・ぬ(ける)・ぬ(かる)・ぬ(かす);вытаскивать, удалять, выниматься, выпадать, допускать промах, опускать
抱;ホウ・だ(く)・いだ(く)・かか(える);обхватывать, обнимать, держать на руках, держать в услужении
担;タン・かつ(ぐ)・にな(う);нести (на плече), иметь во главе, подшутить, нести обязанности
拝;ハイ・おが(む);поклоняться, молиться
挟;キョウ・はさ(む)・はさ(まる);зажимать, быть зажатым между
捕;ホ・と(らえる)・つか(まえる)・と(らわれる)・つか(まる)・と(る);ловить, схватить, арестовать, быть пойманным, быть охваченным, ловить (рыбу)
捜;ソウ・さが(す);искать, разыскивать
掃;ソウ・は(く);мести, подметать, подкрашивать (брови)
掘;クツ・ほ(る);копать, рыть, бурить
掛;カイ・ケイ・か(ける)・か(かる);вешать, тратить, звонить по телефону, садиться, накрывать, висеть, требоваться, стоить
採;サイ・と(る);добывать, брать
換;カン・か(える)・か(わる);обменивать, обмениваться, конвертироваться
損;ソン・そこ(なう)・そこ(ねる);убыток, портить, ранить
救;キュウ・すく(う)・すく(い);спасать, выручать, спасение, помощь
敬;ケイ・キョウ・うやま(う)・うやま(い);уважать, почитать, уважение, почитание
旧;キュウ・もと・ふる(い);прежний, старое, прошлое, бывший, прежний
昇;ショウ・のぼ(る);повышение, взбираться, получать повышение
普;フ・あまね(く);распространённый, повсюду, везде
暮;ボ・くれ・く(れる)・く(らす)・く(らし);сумерки, конец дня, кончаться, смеркаться, жить, существовать, существование
暴;ボウ・あば(れる)・あば(く);насилие, бушевать, буянить, раскрывать, разоблачать
曇;ドン・くも(る)・くも(り);пасмурный, быть пасмурным, облачность
更;コウ・さら(に)・ふ(ける)・ふ(かす);обновлять, снова, ещё раз, кроме того, смеркаться, сидеть допоздна
替;タイ・か(える)・か(わる);обмен, менять, заменять, быть заменённым, меняться местами 
札;サツ・ふだ;этикетка, бумажные деньги
机;キ・つくえ;стол, парта
杯;ハイ・さかずき;чарка, чашка для сакэ, рюмка, сч. суффикс для выпитых рюмок
枚;マイ;плоские предметы, сч. суф. для плоских предметов
枝;シ・えだ;ветка, ветвь, ответвление
枯;コ・か(れる)・か(らす);засыхать, вянуть, сушить, высушивать растения
柔;ジュウ・やわ(らかい);мягкий, нежный
柱;チュウ・はしら;колонна, столб
械;カイ;механизм
棒;ボウ;палка, дубинка, шест, черта, линия
植;ショク・う(える)・う(わる);сажать (растения), быть посаженным
権;ケン・ゴン;права
欧;オウ;Европа
欲;ヨク・ほっ(する)・ほ(しい);желать, хотеть
歳;サイ・とし;возраст
歴;レキ;карьера, чередование
殿;デン・との;дворец, барин, господин
毒;ドク;яд, отрава, вирусы, порча
永;エイ・なが(い)・なが(らく);вечный, долгий, долго
汗;カン・あせ;пот
汚;オ・きたな(い)・よご(れる)・けが(れる)・よご(す)・けが(す);грязь, грязный, пачкаться, пачкать
沈;チン・しず(む)・しず(める);погружаться, тонуть, топить, погружать
沸;フツ・わ(く)・わ(かす);кипеть, бурлить, кипятить, будоражить
況;キョウ・まし(て)・いわ(んや);положение, тем более, не говоря уже о…
泉;セン・いずみ;родник, источник, ключ
泊;ハク・と(まる)・と(める);ночевать, оставаться на ночь, оставлять на ночь, сч. суф. ночевок
泥;デイ・どろ・どろ(んこ);грязь, слякоть
浅;セン・あさ(い);мелкий, неглубокий, поверхностный
浮;フ・う(く)・う(かれる)・う(かべる);всплывать, плавать, держаться на воде, развлекаться, спускать на воду
涙;レイ・なみだ・なみだ(ぐむ);слезы, прослезиться
液;エキ;жидкость, раствор, сок
涼;リョウ・すず(しい)・すず(む);прохладный, свежий, наслаждаться прохладой
清;セイ・ショウ・きよ(い)・きよ(まる)・きよ(める);чистый, нравственно очищаться, очищать, омывать
済;サイ・す(む)・す(ます)・す(まない);закончено, окончиться, обойтись, заканчивать,  извините
減;ゲン・へ(る)・へ(らす);уменьшаться, стираться, уменьшать
渡;ト・わた(る)・わた(す);переправляться, переходить через, переправлять, передавать
湾;ワン;залив, бухта
湿;シツ・しめ(る)・しめ(す);сырой, быть влажным, отсыревать, увлажнять
溶;ヨウ・と(ける)・と(かす);растворяться, таять, растворять, растапливать
滴;テキ・しずく・したた(る);капля, капать, падать каплями
漁;ギョ・リョウ・あさ(る);рыболовство, улов, ловить рыбу
濃;ノウ・こ(い);густой, крепкий, темный
濯;タク・すす(ぐ)・よす(ぐ);полоскать, стирать, мыть, полоскать
灯;トウ・ともしび・あかり・とも(す);лампа, свет, зажигать, включать свет
灰;カイ・はい;пепел, зола
炭;タン・すみ;уголь
煙;エン・けむり・けむ(る)・けむ(い);дым, дымиться, дымный
照;ショウ・て(る)・て(らす);светить, сиять, освещать, сопоставлять
燃;ネン・も(える)・も(やす);гореть, пылать, зажигать
燥;ソウ;сохнуть
爆;バク・は(ぜる);взрыв, лопаться, трескаться
片;ヘン・ひら・かた(をつける);один из двух, листок, клочок, уладить, разобраться
版;ハン;издание, клише, выпуск, печать
猫;ビョウ・ねこ;кошка, кот
珍;チン・めずら(しい);редкостный, необычный, диковинный
瓶;ビン・かめ;бутылка, флакон, горшок, кувшин, ваза
甘;カン・あま(い)・あま(える)・あま(やかす)・うま(い);сладкий, быть избалованным, баловать, вкусный
畑;はた・はたけ;плантация, суходольное поле, огород, поприще
畜;チク;скотина, домашние животные
畳;ジョウ・たたみ・たた(む);татами, складывать
疑;ギ・うたが(い)・うたが(う);подозрение, сомневаться, не доверять
療;リョウ;лечение
盗;トウ・ぬす(む)・ぬす(み);красть, воровать, кража, воровство
眠;ミン・ねむ(る)・ねむ(い);спать, засыпать, сонный, наводящий сон
砂;サ・すな;песок
硬;コウ・かた(い);твердый, жесткий
磨;マ・みが(く);шлифовать, полировать, чистить (зубы)
祈;キ・いの(り)・いの(る);молитва, молиться, желать чего-л кому-л
福;フク;счастье, благополучие, удача
秒;ビョウ;секунда
税;ゼイ;налог, пошлина
突;トツ・つ(く);ударять, толкать, колоть, нападать
窓;ソウ・まど;окно
童;ドウ・わらべ;дитя
符;フ;ярлык, знак, талон, билет, метка, амулет
筒;トウ・つつ;труба, муфта
簡;カン;простой, краткость
籍;セキ;приписка, гражданство
粉;フン・こ・こな・デシメートル;порошок, мука, дециметр
粒;リュウ・つぶ;частица, зёрнышко, капля
紅;コウ・ク・べに・くれない・あか(い);алый, помада, румяна, алый цвет, красный
純;ジュン・じゅん(な);беспримесный, чистый, чистый душой
紹;ショウ;знакомить, представлять
絡;ラク・から(む)・から(まる)・から(める);зацепляться, обвиваться, цепляться, обвивать
綿;メン・わた;хлопок, вата
総;ソウ・すべ(て)・すべ(る);общий, все, всё, полностью, управлять, объединять
緒;ショ・お;начало, шнур, тесьма, струна
缶;カン・かま;консервная банка, бидон, котелок
署;ショ;контора, полицейский участок, подпись
群;グン・むれ・む(れる)・むら(がる);группа, толпа, стадо, толпиться
翌;ヨク;следующий (день, месяц, год)
耕;コウ・たがや(す);земледелие, возделывать землю
肌;キ・はだ;кожа, голое тело, натура, склад ума
肩;ケン・かた;плечо
肯;コウ・がえんじ(る);соглашаться, уступать
胸;キョウ・むね;грудь, сердце, душа
脂;シ・あぶら・やに;жир, сало, смола, никотин
脳;ノウ;мозг, мозги
腕;ワン・うで;рука, умение, мастерство
腰;ヨウ・こし;поясница, талия, нижняя часть
腹;フク・はら・(お)なか;живот, желудок
膚;フ・はだ;кожа, голое тело
臓;ゾウ・はらわた;кишечник, кишка, кишки, потроха
舞;ブ・ま(う)・まい;танцевать, танец, пляска
舟;シュウ・ふね・ふな;лодка, судно, корабль
般;ハン;категория, род, вид
荒;コウ・あら(い)・あ(れる);бурный, грубый, быть бурным (о погоде), буйствовать
菓;カ;сладости
著;チョ・チャク・あらわ(す)・いちじる(しい);автор, писать, издавать, значительный, заметный
蒸;ジョウ・む(す)・む(らす)・む(れる);варить на пару, быть душным, становиться затхлым, преть
蔵;ゾウ・くら・ぞう(する);кладовая, склад, имущество, хранить
薄;ハク・うす(い)・うす(める)・うす(まる);тонкий, бледный, слабый, разбавлять, уменьшаться
衣;イ・ころも・きぬ;одежда, одеяние
袋;タイ・ふくろ;мешок, сумка, пакет
被;ヒ・こうむ(る)・かぶ(る)・おお(う);подвергаться, надевать на голову, быть облитым, заслонять
装;ソウ・ショウ・よそお(う)・よそお(い);наряжаться, притворяться, наряд
裏;リ・うら;изнанка, задняя часть, подкладка
補;ホ・おぎな(う);восполнять, пополнять, возмещать, компенсировать
触;ショク・さわ(る)・ふ(れる);трогать, прикасаться, задевать, упоминать, распускать слухи
訪;ホウ・おとず(れる)・たず(ねる);посещать, навещать, заходить
設;セツ・もう(ける);учреждать, устраивать, оборудовать, иметь ребёнка
詞;シ・ことば;слово
詰;キツ・つ(める)・つめ・つ(まる)・つ(む);набивать, наполнять, сокращать, начинка, набивка, быть набитым, быть сдавленным
誌;シ;журнал, запись, описание
誤;ゴ・あやま(り)・あやま(る);ошибка, промах, ошибаться, вводить в заблуждение
諸;ショ・もろ;всевозможные, целиком, полностью, совсем
警;ケイ・いまし(める);полиция, предупреждать, предостерегать
貝;バイ・かい;раковина, моллюск с раковиной
貧;ヒン・ビン・まず(しい);бедный, нуждающийся, скудный
貨;カ;монета, деньги, товары
販;ハン;сбывать, продавать
貯;チョ・た(める)・たくわ(える);копить, откладывать, запасать, отращивать
貿;ボウ;торговля
賞;ショウ・ほ(める);награда, премия, приз, хвалить, восхищаться
賢;ケン・かしこ(い);мудрость, умный, мудрый
贈;ゾウ・おく(る);подарок, дарить, преподносить
超;チョウ・こ(える)・こ(す);сверх-, превышать, превосходить
越;エツ・こ(える)・こ(す);превосходить, переходить, перебираться, переезжать
跡;セキ・あと;след, отпечаток, развалины
踊;ヨウ・おど(る)・おど(り);танцевать, плясать, танец
軒;ケン・のき;край крыши, карниз, крыша, счет. суф. домов
軟;ナン・やわ(らかい);мягкий, нежный
輸;ユ・ゆ(する);ввоз-вывоз, уступать, быть слабее
辛;シン・から(い)・つら(い);острый, горький, солёный, тяжёлый
辞;ジ・や(める);отставка, слово, речь, обращение, уходить в отставку
込;こ(む)・こ(める);внутрь, быть переполненным, включать, вкладывать душу
迎;ゲイ・むか(える);выходить на встречу, встречать, принимать у себя
述;ジュツ・の(べる);высказывать, излагать, выражать
逃;トウ・に(げる)・に(がす);убегать, избегать, упускать, выпускать на свободу
逆;ギャク・さかさ・さから(う);наоборот, противоположность, идти против
途;ト;путь, дорога
造;ゾウ・つく(る);изготовлять, делать, строить
郊;コウ;пригород
郵;ユウ;почта
量;リョウ・はか(る);количество, объём, мерить, измерять, взвешивать
針;シン・はり;игла, шип, колючка, стрелка
鈍;ドン・にぶ(い)・にぶ(る);тупой, несообразительный, затупляться
鉱;コウ・あらがね;руда, минерал
銅;ドウ・あかがね;медь
鋭;エイ・するど(い);острый, острота
防;ボウ・ふせ(ぐ);предотвращать, обороняться, защищаться
除;ジョ・のぞ(く);устранять, убирать, исключать
隅;グウ・すみ;внутренний угол
隻;セキ;только один, один из пары, сч. суф. кораблей
雇;コ・やと(い)・やと(う);наём, работа по найму, нанимать, брать на прокат
難;ナン・むずか(しい)・かた(い);трудный, тяжелый, невозможный
零;レイ・ぜろ・こぼ(す)・こぼ(れる);ноль, проливать, рассыпать, поливаться, расплёскиваться
震;シン・ふる(う)・ふる(える);землетрясение, трястись, дрожать
革;カク・かわ;кожа, шкура, кожура, кора
靴;カ・くつ;обувь, ботинки
頂;チョウ・いただ(き)・いただ(く);вершина, пик, брать, получать, есть, пить 
順;ジュン;порядок, последовательность
預;ヨ・あず(ける)・あず(かる);депозит, отдавать на хранение, брать на хранение
領;リョウ;территория, владение
頼;ライ・たの(む)・たのも(しい)・たよ(る);просить, поручать, надежный, полагаться, опираться
額;ガク・ひたい;сумма, количество, картина в раме, лоб
香;コウ・か・かお(り)・かお(る);аромат, запах, пахнуть
駐;チュウ;пребывать, стоянка, парковка
骨;コツ・ほね;кость, костяк, остов, сущность
髪;ハツ・かみ;волосы (на голове)
麦;バク・むぎ;хлебные злаки, зерновые
黄;コウ・オウ・き;желтый
齢;レイ・よわい;возраст
