#name=My Vocab N2 (1)
#description=My JLPT N2
JP;JP_KANA;RU
各自;かくじ;каждый, индивидуально
拡充;かくじゅう;расширение, распространение
学術;がくじゅつ;наука, учение
各地;かくち;каждое место, разные места
拡張;かくちょう;увеличение, расширение, экспансия
角度;かくど;мат. угол
学年;がくねん;учебный год, класс, курс
格別;かくべつ;исключительный, особенный
確率;かくりつ;вероятность, шанс
学力;がくりょく;научные познания, эрудиция
掛け算;かけざん;умножение
可決;かけつ;утверждение, одобрение, принятие
火口;かこう;кратер
下降;かこう;спад, понижение, спуск, снижение
重なる;かさなる;громоздиться, следовать один за другим, лежать один на другом, совпадать, накладываться
重ねる;かさねる;сложить, положить друг на друга, нагромоздить, наносить одно поверх другого
飾り;かざり;украшение
火山;かざん;вулкан
;かしこまりました;Будет исполнено!
貸し出し;かしだし;ссуда, займ, отдача во временное пользование
過失;かしつ;ошибка, дефект, промах, упущение
果実;かじつ;фрукт, орех, ягода, плод, прибыть
貸間;かしま;комната в аренду
貸家;かしや;дом в аренду
個所・箇所;かしょ;проход, место, часть, пункт, участок
過剰;かじょう;излишек, избыток
齧る;かじる;жевать, откусывать, грызть
課税;かぜい;налог, пошлина, обложение налогом
下線;かせん;подчеркивание, подчеркивающая линия
;カセット;кассета, картридж (игровой)
加速;かそく;ускорение, увеличение скорости, разгон
加速度;かそくど;ускорение, акселерация
堅い;かたい;твёрдый, крепкий, грубый, тугой
片付く;かたづく;быть в порядке, быть решенным, быть улаженным
塊;かたまり;глыба, ком, груда, сгусток, толпа
固まる;かたまる;затвердеть, окрепнуть, сгуститься, свернуться
片道;かたみち;дорога в одну сторону
傾く;かたむく;наклониться, перекоситься, перевесить
片寄る;かたよる;наклониться, склонить, дать крен, быть расположенным (к чему-то)
学科;がっか;учебный курс
学会;がっかい;научное общество, научное собрание, научная конференция
楽器;がっき;музыкальный инструмент
学級;がっきゅう;класс, курс
担ぐ;かつぐ;носить на плечах, выдвинуть, поставить во главе, обманывать, подшучивать
括弧;かっこ;скобки
活字;かつじ;шрифт, литера
活躍;かつやく;активность, деятельность, быть активным, играть активную роль
活力;かつりょく;живучесть, живость, энергия, динамичность
仮定;かてい;гипотеза, предположение, допущение
過程;かてい;процесс, механизм, ход
課程;かてい;курс обучения, учебный план, программа
仮名;かめい;псевдоним, вымышленное имя, прозвище
仮名遣い;かなづかい;написание каной, слоговое написание
鐘;かね;колокол
加熱;かねつ;нагрев, нагревание
兼ねる;かねる;быть неспособным для
;カバー;обложка, обертка, чехол, кожух, покрывало
過半数;かはんすう;большинство, большая часть
被せる;かぶせる;закрыть, покрыть, накрыть
釜;かま;котел, кипятильник
紙屑;かみくず;макулатура, бумажный мусор, обрывки бумаги
神様;かみさま;Бог
剃刀;かみそり;бритва
;ガム;жевательная резинка
貨物;かもつ;груз, багаж, товар
痒い;かゆい;зудящий, чешущийся
歌謡;かよう;песня, баллада
殻;から;шелуха, кожура, скорлупа, раковина
;カラー;цвет, цветной, воротник
;からかう;подшучивать, подтрунивать, насмехаться, дразнить
空っぽ;からっぽ;пустой, незаполненный, полый, свободный
;カルタ;карточная игра
枯れる;かれる;засохнуть, высохнуть, завять
;カロリー;калории
可愛がる;かわいがる;любить, баловать
乾かす;かわかす;сушить, просушить, высушить
渇く;かわく;испытывать жажду, хотеть пить
為替;かわせ;денежный перевод, обмен (напр. валюты)
瓦;かわら;черепица
代る;かわる;замещать, заменять, смениться
間隔;かんかく;промежуток, интервал, дистанция, расстояние
換気;かんき;вентиляция, проветривание
感激;かんげき;глубокое впечатление, восторг, восхищение
関西;かんさい;Кансай (юго-западная часть Японии)
鑑賞;かんしょう;чувство вкуса, оценка, наслаждение
感ずる;かんずる;чувствовать, ощущать
間接;かんせつ;косвенность, косвенный, непрямой
乾燥;かんそう;сушка, сухость, высушивание
感想;かんそう;впечатление
観測;かんそく;наблюдение
寒帯;かんたい;полярная зона, арктический пояс
官庁;かんちょう;государственное учреждение
勘違い;かんちがい;неправильное понимание, ошибочное представление, недоразумение
缶詰;かんづめ;консервы, консервирование
乾電池;かんでんち;сухая батарейка
関東;かんとう;Канто (восточная часть Японии)
観念;かんねん;идея, понятие, догадка
乾杯;かんぱい;выпить за что-то, Кампай! (тост, когда пьют)
看板;かんばん;вывеска, рекламный щит
看病;かんびょう;уход за больным
冠;かんむり;корона, венец
漢和;かんわ;Китай и Япония, китайско-японский
気圧;きあつ;атмосферное давление
着替え;きがえ;переодевание, запасная одежда
機関車;きかんしゃ;локомотив, двигатель
飢饉;ききん;голод, неурожай, недостаток, нехватка
器具;きぐ;прибор, инструмент, аппаратура, посуда
期限;きげん;период, срок
記号;きごう;символ, код, знак, эмблема
刻む;きざむ;крошить, раздробить, нашинковать, вырезать, гравировать
儀式;ぎしき;церемония, ритуал, торжество
基準・規準;きじゅん;стандарт, основа, критерий, норма
起床;きしょう;утренний подъем, вставать с кровати
着せる;きせる;надеть на кого-то, одеть во что-то, покрыть, наложить, оклеить
基礎;きそ;основа, фундамент, базис
気体;きたい;газ, газообразное тело
基地;きち;база (напр. военная), оплот
;きっかけ;шанс, начало, случай, повод
;ぎっしり;плотно, тесно
基盤;きばん;основание, базис, фундамент
客席;きゃくせき;место для гостей, аудитория
客間;きゃくま;гостиная, гостевая комната
;ギャング;гангстер, бандит
;キャンパス;кампус
休業;きゅうぎょう;перерыв, временное прекращение работы, выходной
休講;きゅうこう;пропуск лекции
休息;きゅうそく;отдых, расслабление
給与;きゅうよ;зарплата, содержание, снабжение
休養;きゅうよう;отдых
清い;きよい;чистый, невинный, неиспорченный, непорочный
強化;きょうか;усиление, укрепление
境界;きょうかい;граница, рубеж, предел
行事;ぎょうじ;событие, регулярное занятие
恐縮;きょうしゅく;смущение, быть смущенным, быть благодарным
教養;きょうよう;культура, образование
行列;ぎょうれつ;линия, процессия
漁業;ぎょぎょう;рыболовство, рыбная промышленность
曲線;きょくせん;кривая (линия), дуга
規律;きりつ;дисциплина, порядок, регламент
斬る;きる;рубить, резать, нарезать, убить (холодным оружием)
気を付ける;きをつける;быть осторожным, внимательным
金魚;きんぎょ;золотая рыбка
区域;くいき;район, зона, сфера, область
偶数;ぐうすう;четное число
空想;くうそう;иллюзия, фантазия, воображение, пустая мечта
空中;くうちゅう;небо, воздух
;クーラー;кулер, кондиционер
釘;くぎ;гвоздь, костыль
区切る;くぎる;разграничивать, разделять, определять границы
櫛;くし;расческа, гребешок
;くしゃみ;чихание, чихать
苦情;くじょう;жалоба, недовольство, претензия, возражение
苦心;くしん;беспокойство, забота, старание, усилие
屑;くず;мусор, отходы, хлам
崩す;くずす;развалить, разрушить, разменять деньги
薬指;くすりゆび;безымянный палец
崩れる;くずれる;разрушаться, разваливаться, быть разрушенным
砕く;くだく;ломать, разбивать, раздробить, измельчить
砕ける;くだける;ломаться, разбиваться, быть разбитым, выкрошиться
;くたびれる;уставать, изнашиваться
;くだらない;глупый, тривиальный, бесполезный
下る;くだる;спускаться, опускаться, сдаваться
唇;くちびる;губы
口紅;くちべに;губная помада
;くっつく;прицепиться, пристать, прилипнуть, стоять вплотную
;くっつける;прикреплять, соединять, связать
;くどい;многословный, навязчивый, докучливый, утомительный
句読点;くとうてん;знаки препинания
配る;くばる;распространять, доставлять, распределять, раздать
工夫;くふう;соображение, идея, замысел, выдумка
区分;くぶん;деление, дробление, классификация
組合せ;くみあわせ;сочетание, подбор, комбинация
組み立てる;くみたてる;собирать, составлять, монтировать
汲む;くむ;вылить, черпнуть, выкачать (про воду)
酌む;くむ;подавать саке
悔しい;くやしい;прискорбный, досадный
悔やむ;くやむ;раскаяться, сожалеть, соболезновать
;クリーニング;чистка, уборка
;くるむ;оборачивать, окутать
;くれぐれも;снова, убедительно, наилучшие пожелания
咥える;くわえる;держать во рту, держать в зубах
郡;ぐん;район, уезд
稽古;けいこ;упражнение, занятие, тренировка, изучение
敬語;けいご;вежливость, выражение учтивости
蛍光灯;けいこうとう;лампа дневного света, медлительный человек
形式;けいしき;форма, формальность, формула
継続;けいぞく;продолжение, обновление
毛糸;けいと;шерстяная пряжа
経度;けいど;географическая долгота
系統;けいとう;система, происхождение, генеалогия, род
芸能;げいのう;представление, спектакль, артистизм
競馬;けいば;бега, скачки
警備;けいび;охрана, защита
形容詞;けいようし;прилагательное на い
形容動詞;けいようどうし;прилагательное на な
外科;げか;хирургия
毛皮;けがわ;мех, шкура
激増;げきぞう;резкое увеличение, резкое возрастание
下車;げしゃ;выход из транспорта, высадка
下旬;げじゅん;последняя декада месяца
下水;げすい;канализация, водосток, сточные воды
削る;けずる;строгать, точить, обрезать, вычеркивать
桁;けた;балка, бревно, рея, разряд
下駄;げた;гэта (деревянные сандалии)
血圧;けつあつ;кровяное давление
血液;けつえき;кровь
月給;げっきゅう;месячная зарплата
傑作;けっさく;шедевр
月末;げつまつ;конец месяца
気配;けはい;признак, подсказка
下品;げひん;вульгарность, пошлость, грубость
煙い;けむい;дымный, задымлённый
蹴る;ける;пинать, бить ногой, отказывать, отвергать
険しい;けわしい;крутой, обрывистый, суровый, трудный
見学;けんがく;практическое изучение, наблюдение и изучение
謙虚;けんきょ;скромность, сдержанность
原稿;げんこう;рукопись
原産;げんさん;происхождение, место обитания
原始;げんし;начало, источник, первобытный
研修;けんしゅう;обучение, стажировка, практика
厳重;げんじゅう;строгость, тщательность, требовательность
謙遜;けんそん;скромность, уступчивость
県庁;けんちょう;администрация префектуры
限度;げんど;предел, ограничение
現に;げんに;фактически, действительно
顕微鏡;けんびきょう;микроскоп
原理;げんり;принцип, фундаментальная истины
原料;げんりょう;сырье
碁;ご;игра Го
恋しい;こいしい;любимый
請う;こう;молить, просить, выпросить
工員;こういん;работник завода
強引;ごういん;принудительный, насильственный
公害;こうがい;загрязнение окружающей среды
高級;こうきゅう;высококлассный, высшего ранга
公共;こうきょう;общество, общественность, публичность
工芸;こうげい;прикладное искусство
固い;かたい;твёрдый (не жидкий)
孝行;こうこう;почтение к родителям
交差;こうさ;пересечение, скрещивание
講師;こうし;лектор
工事;こうじ;строительные работы, стройка
公式;こうしき;церемония, обряд, формула
口実;こうじつ;предлог, отговорка
斯うして;こうして;так, таким образом
校舎;こうしゃ;здание школы
公衆;こうしゅう;общественность, публика, общество
香水;こうすい;духи, парфюм
公正;こうせい;справедливость, честность, беспристрастность
功績;こうせき;достижение, заслуга, подвиг
光線;こうせん;солнечный луч
高層;こうそう;высокий, многоэтажный, верхние слои атмосферы
構造;こうぞう;структура, строение, конструкция
交替;こうたい;чередование, смена, замена
耕地;こうち;пашня, пахотная земля
交通機関;こうつうきかん;транспортное средство
校庭;こうてい;школьная площадка
肯定;こうてい;подтверждение, одобрение, утверждение
高度;こうど;высота, подъем
高等;こうとう;высший класс
合同;ごうどう;объединение, комбинация, слияние
後輩;こうはい;младший (по должности, классу)
公表;こうひょう;публикация, обнародование
鉱物;こうぶつ;минерал, руда, ископаемое
公務;こうむ;общественные дела, служебные обязанности
項目;こうもく;пункт, параграф
紅葉;こうよう;покрасневшие листья
合理;ごうり;рациональный
交流;こうりゅう;культурный обмен, общение, связь, отношения, переменный ток
合流;ごうりゅう;слияние (напр. дорог), впадение, присоединение
効力;こうりょく;действие, эффект
超える;こえる;переходить, перебираться через
;コース;курс, направление
;コーラス;хор
焦がす;こがす;сжигать, жечь, обуглить, опалить
国王;こくおう;король, монарх
国籍;こくせき;национальность
国立;こくりつ;национальный, государственный, учрежденный государством
;ごくろうさま;спасибо за (работу)
焦げる;こげる;сгореть, обжечься, обуглиться
凍える;こごえる;замерзнуть, закоченеть
心当たり;こころあたり;представление о чем-то
心得る;こころえる;знать, понимать, быть в курсе
腰掛け;こしかけ;стул, сиденье, табурет, скамейка
腰掛ける;こしかける;садиться
五十音;ごじゅうおん;слоговая азбука кана
胡椒;こしょう;перец
;こしらえる;делать, производить, изготовлять, сочинить
超す;こす;перейти, превысить, превосходить
擦る;こする;тереть, скрести, стереть
御存知ですか;ごぞんじですか;Вы знаете? Вы знакомы?
個体;こたい;индивидуум
小遣い;こづかい;карманные деньги, мелкие расходы
;コック;повар, кран, затычка, петух
;こっそり;украдкой, тайком, втайне
古典;こてん;классика
琴;こと;музыкальный инструмент Кото
言付ける;ことづける;передача на словах, устное поручение
言葉遣い;ことばづかい;речь, форма выражения
;こないだ;недавно, на днях
御無沙汰;ごぶさた;долгое молчание (в том числе в переписке, звонках и т.п.)
零す;こぼす;проливать, выливать, рассыпать
零れる;こぼれる;пролиться, перелиться через край, быть переполненным
塵芥;ごみあくた・じんかい;мусор, хлам, грязь, кухонные отбросы
;ゴム;резина, каучук
御免;ごめん;извинение
御免下さい;ごめんください;Можно войти?, Извините!
小指;こゆび;мизинец
;こらえる;терпеть, выдержать, сдержать, крепиться
娯楽;ごらく;удовольствие, развлечение
御覧;ごらん;(уваж.) смотреть, пробовать, пытаться
;コレクション;коллекция, исправление
転がす;ころがす;катить, катать, опрокинуть, повалить
転がる;ころがる;катиться, валяться, перекатиться, лежать
紺;こん;тёмно-синий
;コンクール;соревнование, конкурс
;コンクリート;бетон
混合;こんごう;смешивание
;コンセント;розетка
献立;こんだて;меню
;サークル;круг, кружок (спортивный и т.п.)
在学;ざいがく;учиться (в учебном заведении)
再三;さいさん;неоднократно, постоянно
祭日;さいじつ;праздник
催促;さいそく;требование, напоминание
採点;さいてん;проверять (тест), выставлять оценки
災難;さいなん;бедствие, катастрофа, несчастный случай
裁縫;さいほう;шитье
材木;ざいもく;бревно, лесоматериалы
;サイレン;сирена
逆さ;さかさ;опрокинутый, перевернутый, обратная сторона
逆様;さかさま;опрокинутый, перевернутый, обратная сторона
遡る;さかのぼる;ехать вверх по течению, возвращаться
酒場;さかば;бар
一昨昨日;さきおととい・いっさくさくじつ;позавчера
先程;さきほど;недавно, не так давно, немного ранее
裂く;さく;разрывать, разделять, раскалывать, вспарывать
索引;さくいん;индекс, указатель
作者;さくしゃ;автор, писатель
削除;さくじょ;удаление, вычеркивание, исключение
作成;さくせい;составление, оформление (сообщения, отчета и т.п.)
作製;さくせい;производство, изготовление
探る;さぐる;разведать, исследовать, выведать
囁く;ささやく;шептать
刺さる;ささる;втыкаться, вонзаться
匙;さじ;ложка
座敷;ざしき;гостиница в японском доме
差し支え;さしつかえ;помеха, неудобство, препятствие
差し引き;さしひき;вычитание, вычет, баланс, остаток
刺身;さしみ;сасими (нарезанная сырая рыба)
刺す;さす;протыкать, пронзить, воткнуть
挿す;さす;вставлять, класть, аранжировать
注す;さす;наливать, применять, подавать напитки
射す;さす;светить, падать (про солнечные лучи, свет)
流石;さすが;как и следовало ожидать, даже, все еще
撮影;さつえい;съёмка, фотосъёмка
雑音;ざつおん;шум, резкий звук, помехи
;さっさと;быстро, живо, проворно
早速;さっそく;сразу, моментально
錆;さび;ржавчина
錆びる;さびる;ржаветь
座布団;ざぶとん;дзабутон (плоская подушка для сидения на полу)
冷ます;さます;охлаждать, остужать
妨げる;さまたげる;прерывать, предотвращать, мешать, препятствовать
冷める;さめる;остудиться, охладиться, понизиться, уменьшиться
;サラリーマン;офисный работник
騒がしい;さわがしい;шумный, беспокойный
爽やか;さわやか;свежий, освежающий, звонкий
三角;さんかく;треугольник
算数;さんすう;арифметика
酸性;さんせい;кислотность
産地;さんち;место производства, место произрастания
;サンプル;пример
山林;さんりん;горный лес
仕上がる;しあがる;быть законченным, завершаться
明明後日;しあさって;через два дня
;シーズン;сезон (в спорте, в плане урожая)
;シーツ;простыня
寺院;じいん;храм
;しいんと;тихо как в могиле
自衛;じえい;самооборона, самозащита
塩辛い;しおからい;пересоленный
司会;しかい;председательствование, проведение собрания и т.п.
四角;しかく;квадрат
四角い;しかくい;четырехугольный
時間割;じかんわり;расписание
四季;しき;четыре времени года
敷地;しきち;площадка, территория, участок
至急;しきゅう;срочный, неотложный, экстренный
敷く;しく;расстелить, продолжить, покрыть
茂る;しげる;густо расти, зарастать
持参;じさん;приносить с собой
磁石;じしゃく;магнит, компас
四捨五入;ししゃごにゅう;(мат.) округление
始終;しじゅう;все время, постоянно, от начала до конца
自習;じしゅう;самообучение, самостоятельное обучение
静まる;しずまる;успокаиваться,утихнуть, затихнуть, быть успокоенным
姿勢;しせい;поза, положение тела, осанка
自然科学;しぜんかがく;естественные науки, естествознание, естествоведение
時速;じそく;скорость в час
子孫;しそん;потомство, потомки
死体;したい;труп, мёртвое тело
下書き;したがき;черновик, набросок
下町;したまち;нижняя (торговая) часть города
自治;じち;автономия, самоуправление
実感;じっかん;чувственное восприятие, реальное переживание
湿気;しっけ;сырость, влажность, мокрота
;しつこい;назойливый, упорный, навязчивый, докучливый
実習;じっしゅう;практика, практические занятия
実績;じっせき;достижения, реальные результат
湿度;しつど;влажность, уровень влажности
執筆;しっぴつ;писательство
実物;じつぶつ;оригинал, настоящая вещь
尻尾;しっぽ;хвост
実用;じつよう;практическое использование, применение на практике
実力;じつりょく;реальная сила, настоящая способность, практическая работа
実例;じつれい;живой пример, прецедент
失恋;しつれん;несчастная любовь
指定;してい;указание, назначение, определение
私鉄;してつ;частная железная дорога
児童;じどう;ребёнок, дети
縛る;しばる;связывать, привязывать, ограничить
地盤;じばん;фундамент, грунт, база, основа
痺れる;しびれる;онеметь, затечь, оцепенеть, быть парализованным
紙幣;しへい;бумажные деньги, банкноты
;しぼむ;увядать, сохнуть, блёкнуть
絞る;しぼる;сжимать, выжимать, доить корову
縞;しま;полоска, полоса
