#name=My Vocab N3 (2)
#description=My JLPT N3
JP;JP_KANA;RU
尊敬;そんけい;уважение, почтение
存在;そんざい;существование, наличие, бытие, существо, личность
尊重;そんちょう;уважение, соблюдение, считаться с чем-либо
他;た;другие, остальные
対;たい;противоположность, контраст
台;だい;подставка , стойка, стеллаж, опора, рама, сч. суф. для автомашин, станков
題;だい;заглавие, заголовок, тема, вопрос
体育;たいいく;физическое воспитание, физкультура
体温;たいおん;температура тела
大会;たいかい;съезд, конгресс, конференция, турнир
大気;たいき;атмосфера, воздух
代金;だいきん;плата, цена
退屈;たいくつ;скука
滞在;たいざい;пребывание (напр., в гостинице)
大使;たいし;посол
大した;たいした;большой, значительный, серьёзный, важный
対象;たいしょう;объект, предмет (напр., исследования)
大臣;だいじん;министр
対する;たいする;быть обращенным (на что-либо) , быть направленным против, по отношению к
大戦;たいせん;мировая война
大抵;たいてい;обычно, как правило, большей частью
態度;たいど;отношение, позиция, поведение
大統領;だいとうりょう;президент
大半;たいはん;большинство, большая часть, почти всё
代表;だいひょう;представитель, делегат
大部分;だいぶぶん;большей частью, в основном
;タイプライター;пишущая машинка
大変;たいへん;серьезный, чрезвычайный, трудный, обременительный, крайне
逮捕;たいほ;арест
;ダイヤ;бриллиант, диаграмма, расписание
太陽;たいよう;солнце
平ら;たいら;плоский, ровный, спокойный, равнина
代理;だいり;представитель, заместитель
大陸;たいりく;материк, континент
倒す;たおす;валить, опрокидывать, рушить, свергать, одолеть
;タオル;полотенце
互い;たがい;взаимный, обоюдный
宝;たから;сокровище
宅;たく;дом, жилище, мой муж
;だけど;однако
確かめる;たしかめる;удостоверяться, уточнять, проверять
多少;たしょう;много или мало, более или менее, количество, размер, несколько
助ける;たすける;спасать, выручать, помогать
只;ただ;лишь, только, просто, бесплатно
唯;ただ;только, просто, лишь, бесплатно
戦い;たたかい;война, битва, сражение, борьба, соревнования
戦う;たたかう;сражаться, биться, бороться
叩く;たたく;бить, колотить, ударять, критиковать, нападать
直ちに;ただちに;сразу же, немедленно, прямо, непосредственно
立ち上がる;たちあがる;вставать (на ноги), подниматься, приниматься (за дело)
立場;たちば;место, точка зрения, положение, ситуация
経つ;たつ;проходить (о времени)
達する;たっする;достигать, доходить до, издавать (приказ)
;たった;только, лишь
;だって;ведь, даже
;たっぷり;уйма, вдоволь, вполне
縦;たて;длина, высота, вертикаль
;たとえ;аллегория, метафора, иносказание, метафора, притча, сравнение, аналогия
谷;たに;долина, ущелье, ложбина, низкая точка
他人;たにん;другой человек, посторонний, чужой
種;たね;семя, семена, косточка, порода, род, тема, причина, источник
束;たば;связка, вязанка, сноп, пучок
度;たび;раз
旅;たび;путешествие, поездка, поход
;たびたび;неоднократно, часто, не раз
多分;たぶん;вероятно
玉・球・弾;たま;шар, мяч, бусинка, пуля, снаряд, эл. лампочка, бильярд, драгоценность
偶;たま;время от времени, нечасто
偶々;たまたま;случайно, редко, изредка
堪らない;たまらない;невыносимый, невыносимо
黙る;だまる;молчать, умолчать, замалчивать
駄目;だめ;непригодный, неудачный, бесполезный, напрасный
試し;ためし;проба, попытка
試す;ためす;испытывать, проверять
便り;たより;вести, известия, связи
頼る;たよる;полагаться, надеяться, зависеть
段;だん;ступень, ступенька, раздел, разряд
単位;たんい;единица измерения, балл
単語;たんご;слово, простое несоставное слово
男子;だんし;юноша, молодой человек
単純;たんじゅん;простота
誕生;たんじょう;рождение, возникновение, появление на свет
;ダンス;танец
団体;だんたい;группа, коллектив, организация, объединение
担当;たんとう;исполнение обязанностей
単なる;たんなる;простой, явный
単に;たんに;просто, только
地;ち;земля, почва, местность
地位;ちい;общественное положение, статус, должность, расположение
地域;ちいき;район, зона, участок, регион
;チーズ;сыр
;チーム;команда
知恵;ちえ;ум, разум, сообразительность, находчивость
地下;ちか;подземный
違い;ちがい;отличие, разница, расхождение, ошибка
違いない;ちがいない;несомненно, действительно так
近頃;ちかごろ;недавно, в последнее время, на днях 
地球;ちきゅう;Земля, земной шар
地区;ちく;зона, район, участок
遅刻;ちこく;опоздание
知事;ちじ;губернатор префектуры
知識;ちしき;знание, информация, эрудиция
父親;ちちおや;отец
知能;ちのう;умственные способности, интеллект
地平線;ちへいせん;горизонт, линия горизонта
地方;ちほう;местность, район, округ, провинция, глубинка
茶;ちゃ;чай
;チャンス;шанс
;ちゃんと;как следует, аккуратно, точно
中;ちゅう;центр, середина, второй том из трех, умеренность, среди
注;ちゅう;примечание, комментарий, пояснение
中央;ちゅうおう;центр
中学;ちゅうがく;средняя школа
中古;ちゅうこ;поддержанный, старый, средние века
中止;ちゅうし;приостановка, прекращение, прерывание
駐車;ちゅうしゃ;стоянка (машин итп), паркование
昼食;ちゅうしょく;обед, ланч
中心;ちゅうしん;центр, середина, сосредоточение, равновесие
注目;ちゅうもく;внимание, наблюдение
注文;ちゅうもん;заказ
長期;ちょうき;долгий срок (о времени)
調査;ちょうさ;исследование, обследование, изучение
調子;ちょうし;самочувствие, настроение, тон, интонация, тональность, ритм
頂上;ちょうじょう;вершина, кульминация, апогей
頂戴;ちょうだい;брать, получать, съедать (с удовольствием)
貯金;ちょきん;банковский вклад, сбережения, откладывать деньги
直接;ちょくせつ;прямо, непосредственно, лично
著者;ちょしゃ;автор
遂に;ついに;наконец, в конце концов, в конечном счете
通過;つうか;прохождение (через какую-н. территорию), транзит, проходить, проезжать
通学;つうがく;ходить (ездить) в школу
通行;つうこう;проход, проезд
通じる;つうじる;вести к, доходить до, быть проложенным, курсировать, передавать, быть понятным
通信;つうしん;связь (напр., телефонная), переписка, корреспонденция, сообщение, информация
捕まる;つかまる;быть схваченным, быть пойманным, быть арестованным
掴む;つかむ;хватать, схватывать
疲れ;つかれ;усталость, утомление
付き合い;つきあい;знакомство, компания, общение, поддержание отношений
次々;つぎつぎ;один за другим
就く;つく;поступать (на должность), приступать (к работе)
注ぐ;つぐ;лить, поливать, подкладывать (дрова)
付ける;つける;прикреплять, присоединять, прилагать, вносить (в список)
土;つち;земля, грунт, грязь, глина
続き;つづき;продолжение, ряд, серия
包み;つつみ;свёрток, пакет, обёртка
勤め・務め;つとめ;служба, служебный долг, обязанности
繋ぐ;つなぐ;привязывать, пришвартовывать, связывать, соединять
常に;つねに;обычно, постоянно, всегда
翼;つばさ;крылья, лопасть
;つまり;короче говоря, другими словами, то есть, в конце концов
罪;つみ;преступление, проступок, грех, зло, вина, наказание
詰める;つめる;набивать, наполнять, укладывать потеснее, сокращать, укорачивать
積もる;つもる;нагромождаться, скапливаться, лежать, приблизительно оценивать
梅雨;つゆ;сезон дождей
辛い;つらい;тяжелый, горький
釣;つり;рыбная ловля, сдача
連れ;つれ;спутник, попутчик, компаньон
出会い;であい;встреча, свидание
出会う;であう;натолкнуться, встретиться, договариваться
提案;ていあん;предложение, проект
定期;ていき;установленный срок
抵抗;ていこう;сопротивление, противодействие, эл. сопротивление
提出;ていしゅつ;предъявление, представление
程度;ていど;степень, мера, уровень, предел
停留所;ていりゅうじょ;остановка автобуса или трамвая
;デート;свидание
敵;てき;враг, неприятель, противник, оппонент, конкурент
出来事;できごと;происшествие, событие, инцидент
適する;てきする;соответствовать, подходить, быть пригодным
適切;てきせつ;соответствие, уместность
適度;てきど;умеренность, в меру
適用;てきよう;применение на практике (закона, теории и т.п.)
;できれば;если смогу
手品;てじな;ловкость рук, фокус, трюк
;ですから;поэтому
鉄;てつ;железо
哲学;てつがく;философия
手伝い;てつだい;помощь, помощник
徹底;てってい;полнота, тщательность, аккуратность, последовательность
鉄道;てつどう;железная дорога
徹夜;てつや;бессонная ночь, не спать всю ночь
手間;てま;рабочее время, работа, оплата труда
;デモ;(сокр.) демо, демонстрация
典型;てんけい;тип, категория, образец
天候;てんこう;погода, погодные условия
電子;でんし;электрон, электроника, электронная аппаратура
;テント;палатка, навес
伝統;でんとう;традиция
天然;てんねん;природа, натуральный, естественный
問い;とい;вопрос, запрос
党;とう;политическая партия
塔;とう;башня, пагода, обелиск, монумент
答案;とうあん;письменная экзаменационная работа, письменный ответ на вопросы
同一;どういつ;тождественность, идентичность, равенство, равноправие
銅貨;どうか;медная монета
当時;とうじ;в то время, в момент чего-то, теперь, настоящее время
動詞;どうし;глагол
同時;どうじ;в то же время, одновременно, синхронно
;どうしても;во что бы то ни стало, любой ценой, ни в коем случае (с отриц.), неизбежно, обязательно
到着;とうちゃく;прибытие
道徳;どうとく;нравственность, мораль
投票;とうひょう;голосование, баллотировка
同様;どうよう;такой же, похожий, такого же рода
同僚;どうりょう;сослуживец, коллега
道路;どうろ;дорога, шоссе, улица
通す;とおす;давать пройти, пропускать, провести (напр. законопроект), провожать
通り;とおり;улица, дорога, проезд, уличное движение, слышимость
通り過ぎる;とおりすぎる;проходить (проезжать) мимо, проноситься
都会;とかい;город
解く;とく;развязывать, разбирать, разгадывать, освобождать (от обещаний), рассеивать (сомнения)
毒;どく;яд, отрава, токсины, инфекция, вирусы, порча, злоба
得意;とくい;торжество, гордость, расцвет, лучшая пора, конёк, сильная сторона
読書;どくしょ;чтение
独身;どくしん;одинокая жизнь, безбрачие, незамужняя, холостяк
特徴;とくちょう;отличительная черта, особенность
独特;どくとく;своеобразный, самобытный, характерный
独立;どくりつ;независимость, самостоятельность, обособление
解ける;とける;развязываться, распутываться, быть разгаданным, проходить, развеиваться
;ところが;однако, но
;ところで;кстати, между прочим, даже если
登山;とざん;восхождение на гору, альпинизм
都市;とし;город
年月;としつき・ねんげつ;годы и месяцы, годы, время
図書;としょ;книги
年寄;としより;пожилой человек, старшее поколение
閉じる;とじる;закрывать, запирать
途端;とたん;в тот самый момент, как только
土地;とち;земля, участок земли, почва, местность, район
突然;とつぜん;неожиданно, внезапно, вдруг
;トップ;верх, топовая позиция, топ-менеджер
届く;とどく;доставать, достигать, доходить (о письме), быть полученным, исполняться
;とにかく;как бы то там не было, во всяком случае
飛ばす;とばす;пускать по воздуху, бросать вверх, гнать, сдувать, расплескивать, разбрасывать
飛び出す;とびだす;вылетать, выскакивать, выбегать, появляться, вылезать
留める;とめる;выключить, задерживать, прекращать, останавливать
共に;ともに;вместе
土曜;どよう;(сокр.) суббота
虎;とら;тигр, пьяница
;ドライブ;привод, езда, поездка, крученный удар по мячу
;トラック;грузовик, дорожка
;ドラマ;драма
;トランプ;игральные карты
取り上げる;とりあげる;брать в руки, поднимать, принимать (требования), отбирать
努力;どりょく;старания, усилия
どれ;どれ;какой? который (из нескольких)? где?
;ドレス;платье, костюм
取れる;とれる;получать, приобретать, добываться, выходить, проходить (о боли)
泥;どろ;грязь, слякоть
トン;тонна;
;とんでもない;нелепый, ужасный, неожиданный, невероятный
;どんな;какой? 
;どんなに;как, насколько, как бы ни, сколько бы ни
;トンネル;тоннель
名;な;имя, название, наименование, известность
内容;ないよう;содержание, содержимое
;なお;ещё (больше), все (ещё), еще важнее, тем более, далее
仲;なか;отношения
流す;ながす;пускать по течению, лить, смывать
半ば;なかば;половина, середина
仲間;なかま;компания, группа, приятели, товарищи
眺め;ながめ;вид, пейзаж
眺める;ながめる;смотреть на, разглядывать
流れ;ながれ;течение, поток, линия родства
流れる;ながれる;течь, плыть, быть снесенным течением, скитаться, протекать (о времени)
無し;なし;без, не быть, не иметься
;なぜなら;по причине того, что
謎;なぞ;загадка, намёк
納得;なっとく;согласие, понимание
等;など;и так далее, и тому подобное, и другие
鍋;なべ;кастрюля, сковородка
生;なま;сырой, натуральный, необработанный, наличные деньги, (бочковое) пиво
怠ける;なまける;лениться, лентяйничать
波;なみ;волна
涙;なみだ;слёзы
悩む;なやむ;страдать, мучаться
成る・為る;なる;становиться, делаться, получаться
縄;なわ;верёвка, канат
何で;なんで;почему, отчего, зачем
何でも;なんでも;всё что угодно, во что бы то ни стало, все равно, ничего (с отриц.)
何とか;なんとか;что-нибудь, как-то, как-нибудь
似合う;にあう;быть подходящим, подходить друг к другу, быть к лицу
苦手;にがて;слабое место, то что человек не любит (не умеет)
握る;にぎる;брать (в руки), держать (в руке), захватывать, схватывать
日常;にちじょう;обычный, постоянный, повседневный
日曜;にちよう;(сокр.) воскресенье
日光;にっこう;солнечный свет
日中;にっちゅう;дневное время, днём, Япония и Китай, японско-китайский
;にっこり;приветливая улыбка
入場;にゅうじょう;вход
人気;にんき;популярность, авторитет, успех, настроения населения, конъюнктура
人間;にんげん;человек, человечество
抜く;ぬく;вытаскивать, извлекать, выдергивать, удалять, делать выписки, превосходить
抜ける;ぬける;выпадать, выниматься, быть пропущенным, сходить на нет, не хватать
布;ぬの;ткань, материя, полотно
濡れる;ぬれる;промокать, намокать
根;ね;корень, основание, нижняя часть, подножие, натура
値;ね;цена, стоимость
願い;ねがい;просьба, мольба, желание, прошение, заявление
願う;ねがう;просить, молить, желать, хотеть
鼠;ねずみ;крыса, мышь, тёмно-серый цвет
熱帯;ねったい;тропический пояс
熱中;ねっちゅう;энтузиазм, пыл, увлеченность
年間;ねんかん;год, годичный срок, на год, в течение года
年中;ねんじゅう;круглый год, всё время
年代;ねんだい;годы, эпоха, период
年齢;ねんれい;возраст
野;の;поле, равнина
能;のう;способности
農家;のうか;крестьянский дом (двор, семья, хозяйство), крестьяне
農業;のうぎょう;сельское хозяйство, земледелие
農民;のうみん;крестьяне, крестьянство
能力;のうりょく;способность, возможность, (юр.) дееспособность
;ノー;нет
軒;のき;карниз
残す;のこす;оставлять, сохранять
残り;のこり;остаток
乗せる;のせる;сажать (пассажиров), класть, ставить, погружать
除く;のぞく;устранять, убирать, исключать, удалять
望み;のぞみ;желание, надежда
望む;のぞむ;желать, надеяться, видеть вдалеке
後;のち;потом, позднее, после, далее
;ノック;стук
伸ばす;のばす;растягивать, удлинять, отращивать, вытягивать, развивать
伸びる;のびる;растягиваться, удлиняться, расти
述べる;のべる;излагать, высказывать, выражать, рассказывать
昇る;のぼる;восходить (о солнце, луне), подниматься высоко вверх (о дыме)
;のんびり;беззаботно, свободно, непринужденно
場;ば;место, пространство, сцена, ситуация
;はあ;Да, А?, Что?
;パーセント;процент
灰;はい;пепел, зола
梅雨;ばいう;сезон дождей
;バイオリン;скрипка
;ハイキング;пеший поход, экскурсия
配達;はいたつ;доставка, рассылка
;パイプ;труба, трубка, связи, отношения, каналы
俳優;はいゆう;актёр, актриса
;パイロット;пилот, лоцман
墓;はか;могила, гробница, склеп
馬鹿;ばか;дурак, дура, глупость, чушь
博士;はかせ;доктор наук, знаток, профессор
計る;はかる;мерить, измерять, взвешивать, подсчитывать, оценивать
履く;はく;обувать, надевать на нижнюю часть тела
吐く;はく;рвать, тошнить, отхаркивать, выплевывать, выдыхать, высказывать
拍手;はくしゅ;аплодисменты
莫大;ばくだい;колоссальный, огромный, громадный
爆発;ばくはつ;взрыв, детонация
博物館;はくぶつかん;музей
激しい;はげしい;сильный, яростный, резкий, острый, бурный
鋏;はさみ;ножницы
破産;はさん;разорение, банкротство, крах
端;はし・はじ;конец, край, обрывок, клочок
始まり;はじまり;начало
;パス;пас, пропуск, сезонный билет, сдача экзамена
外す;はずす;отцеплять, пропускать, упускать, отменять, уклоняться
;パスポート;паспорт
旗;はた;флаг, знамя
肌;はだ;кожа, голое тело, поверхность, текстура, характер
裸;はだか;голый, обнаженный, нищий
畑;はたけ;поле, плантация, огород, поле деятельности, поприще
働き;はたらき;работа, труд, функционирование, способности, достижения
;バッグ;сумка, ошибка в программе
発見;はっけん;открытие, обнаружение
発行;はっこう;выпуск, издание, публикация, эмиссия
発車;はっしゃ;отправление (поезда, автобуса)
罰する;ばっする;наказывать, карать
発達;はったつ;развитие, рост, прогресс
;ばったり;с шумом, внезапно, неожиданно
発展;はってん;развитие, развёртывание, успех, процветание
発表;はっぴょう;публикация, сообщение, оглашение
発明;はつめい;изобретение, одарённость
話し合う;はなしあう;разговаривать, беседовать, советоваться
離す;はなす;отделять, разъединять, разделять, расставаться
放す;はなす;отпускать, выпускать
離れる;はなれる;отделяться, отдаляться, расставаться, покидать
羽;はね;перо, оперение, крылья, лопасть
幅;はば;ширина, размах, влияние, вес
母親;ははおや;мать
省く;はぶく;исключать, устранять, сокращать, экономить
場面;ばめん;сцена, явление, место действия, ситуация, положение
腹;はら;живот, желудок, душа, намерения
原;はら;равнина, поле, степь
針;はり;игла, шип, колючка, жало
張る;はる;растягивать, расправлять, покрывать, оклеивать, делать ставку, вздуваться, быть покрытым, быть значительным
番;ばん;номер, очередь, очередность, охрана, охранник
;バン;булочка, добавленная стоимость, фургон
範囲;はんい;сфера, область, круг, диапазон, пределы
反抗;はんこう;сопротивление, отпор, оппозиция, враждебность, восстание
犯罪;はんざい;преступление, уголовное дело
;ハンサム;красивый
判断;はんだん;суждение, заключение, оценка, дешифровка, гадание
犯人;はんにん;преступник
販売;はんばい;продажа, торговля
灯;ひ;свет, освещение, лампа, факел
;ビール;пиво
被害;ひがい;ущерб, потери, убытки
比較;ひかく;сравнение
轢く;ひく;переехать (кого-либо), задавить, сбить (пешехода)
;ピクニック;пикник
悲劇;ひげき;трагедия
飛行;ひこう;полёт
膝;ひざ;колено
非常;ひじょう;экстренная ситуация, несчастный случай, происшествие
美人;びじん;красавица
額;ひたい;лоб
;びっくり;удивляться, изумляться, пугаться
日付;ひづけ;дата
必死;ひっし;неизбежная смерть, отчаяние
;ぴったり;плотно, вплотную, точно, идеально, как раз
引っ張る;ひっぱる;тянуть, тащить, волочить, протягивать (веревку)
否定;ひてい;отрицание
;ビデオ;видео
一言;ひとこと;одно слово
人込み;ひとごみ;толпа
等しい;ひとしい;равный, одинаковый
一人・独り;ひとり;один человек, одиночка
一人一人;ひとりひとり;каждый в отдельности, поодиночке, один за другим
批判;ひはん;критика
批評;ひひょう;критика, обзор
秘密;ひみつ;секрет, тайна
微妙;びみょう;тонкий, деликатный, тщательный, скрупулезный
紐;ひも;тесёмка, шнурок, завязка
費用;ひよう;расход, затраты
表;ひょう;таблица, диаграмма, график, список
秒;びょう;секунда
評価;ひょうか;оценка, расценка, котировка
表現;ひょうげん;выражение, проявление, экспрессия
表情;ひょうじょう;выражение лица
平等;びょうどう;равенство
評判;ひょうばん;репутация, известность, слухи
表面;ひょうめん;лицевая сторона, поверхность
広がる;ひろがる;шириться, распространяться, простираться
品;ひん;изящество, изысканность, достоинство
瓶;びん;бутылка, флакон, фляга, графин
便;びん;почта, доставка, случай, оказия, авиарейс
;ピン;булавка, кнопка, прищепка
不;ふ・ぶ;не-, префикс отрицания
無;ぶ;префикс отсутствия, не-
分;ぶ;процент, часть
不安;ふあん;беспокойство, тревога
風景;ふうけい;вид, пейзаж
夫婦;ふうふ;муж и жена, супруги
笛;ふえ;флейта, дудка, свирель, свисток
不可;ふか;неправильный, непозволительный, неудовлетворительно (оценка)
武器;ぶき;оружие
服装;ふくそう;одежда, одеяние, костюм
含む;ふくむ;держать во рту, содержать, заключать в себе, подразумевать, иметь ввиду
袋;ふくろ;мешок, сумка, пакет
不幸;ふこう;несчастье, беда, горе
節;ふし;сустав, утолщение, нарост, сучок, мелодия, пункт, признак
無事;ぶじ;благополучно, спокойно
不思議;ふしぎ;чудо, загадка, тайна, удивительный, непонятный, странный
不自由;ふじゆう;неудобство, стесненность в средствах, нужда
夫人;ふじん;супруга, замужняя женщина, госпожа
婦人;ふじん;женщина, дама
不正;ふせい;несправедливость, беззаконие
防ぐ;ふせぐ;обороняться, защищаться, предупреждать, предотвращать
不足;ふそく;недостаток, нехватка, дефицит, недовольство
舞台;ぶたい;сцена, арена
双子;ふたご;близнецы, двойня
再び;ふたたび;повторно, вторично, снова, еще раз
普段;ふだん;обычно, всегда
縁;ふち;край, оправа, рамка, кайма
打つ;ぶつ;бить, ударять, (разг.) говорить
物価;ぶっか;цены
物質;ぶっしつ;(филос.) материя, вещество
物理;ぶつり;закон природы, физика
筆;ふで;кисть (для письма), один мазок кистью, работа кисти
不図;ふと;внезапно, неожиданно, случайно, невзначай
部分;ぶぶん;часть, доля
不平;ふへい;претензия, недовольство, жалоба
不満;ふまん;недовольство, неудовлетворенность
;プラス;плюс
;プラン;план
不利;ふり;невыгодность, неблагоприятность
振る;ふる;махать, трясти, бросать, посыпать
震える;ふるえる;трястись, дрожать
;ブレーキ;тормоз
触れる;ふれる;трогать, дотрагиваться, касаться, затрагивать
;プロ;профессионал
分;ぶん;часть, порция, доля, участь
文;ぶん;письменность, литература, сочинение, текст, предложение
雰囲気;ふんいき;атмосфера
分析;ぶんせき;анализ
文明;ぶんめい;цивилизация, просвещение
分野;ぶんや;отрасль, сфера, арена действий
塀;へい;ограда, стена, забор
平均;へいきん;средняя величина, равновесие, баланс
平和;へいわ;мир, гармония
別に;べつに;особо, отдельно, специально
減らす;へらす;уменьшать, сокращать, снижать
減る;へる;уменьшаться, сокращаться, спадать, стираться, изнашиваться
;ベルト;ремень, пояс (для западной одежды)
変化;へんか;перемена, изменение, разнообразие
変化;へんげ;призрак, оборотень
;ペンキ;малярная краска
変更;へんこう;изменение, поправка
;ベンチ;скамейка
法;ほう;закон, правило, способ, метод, учение, доктрина
棒;ぼう;палка, дубинка, шест, черта
冒険;ぼうけん;риск, авантюра, приключение
方向;ほうこう;направление, сторона, курс, цель
報告;ほうこく;доклад, отчёт, сообщение, рапорт
宝石;ほうせき;драгоценный камень
豊富;ほうふ;изобилие
方法;ほうほう;способ, метод, средство, методика, система
方々;ほうぼう;всюду, везде, кругом
訪問;ほうもん;посещение, визит
吠える;ほえる;лаять, реветь, выть
;ボーイ;мальчик, официант, посыльный
;ボート;лодка, шлюпка
;ホーム;платформа, дом
;ボール;мяч, шар
外・他;ほか;другой, другое место
誇り;ほこり;гордость
埃;ほこり;пыль
保証;ほしょう;гарантия, поручительство
保存;ほぞん;хранение, сохранность
程;ほど;мера, границы, примерно, около, настолько, такой как
歩道;ほどう;тротуар, пешеходная дорожка
仏;ほとけ;Будда, усопший
骨;ほね;кость, костяк, остов, каркас, труды, старания
炎;ほのお;пламя, огонь
頬;ほほ・ほお;щека, щёки
;ほぼ;почти, примерно, более или менее
微笑む;ほほえむ;улыбаться
濠;ほり;ров, канава, канал
本人;ほんにん;сам, лично, лицо, о котором идет речь
本物;ほんもの;настоящая подлинная вещь, подлинное мастерство
;ぼんやり;рассеяно, с растерянным видом, праздно, туманно, смутно
間;ま;место, время (пространство)
;まあ;ну, пожалуй, ах! (жен.)
;マーケット;рынок
;マイク;микрофон
迷子;まいご;потерявшийся ребенок
任せる;まかせる;поручать, доверять, оставлять усмотрение
幕;まく;занавес, действие, акт, случай, дело
負け;まけ;поражение, проигрыш
孫;まご;внук, внучка
;まさか;Не может быть! Что вы! вряд ли, едва(с отриц.)
;まさに;как раз, точно, ровно, именно
真面目;まじめ;серьёзный, честный, порядочный, добросовестный
増す;ます;увеличивать(ся), прибавлять(ся), возрастать
貧しい;まずしい;бедный, нуждающийся, недостаточный, скромный
;マスター;мастер
;ますます;всё больше и больше, еще больше
街;まち;город, квартал, улица
間違い;まちがい;ошибка, происшествие, недоразумение, конфликт
松;まつ;сосна
真っ赤;まっか;ярко красный, пунцовый
真っ直ぐ;まっすぐ;прямо
全く;まったく;совершенно, абсолютно, всецело, вполне, действительно
学ぶ;まなぶ;учиться, изучать
真似;まね;подражание, симуляция, поведение
招く;まねく;приглашать, манить, звать, вызывать, увлекать за собой
;ママ;мама
豆;まめ;бобы, горох
守る;まもる;защищать, охранять, соблюдать, выполнять, держать слово
円・丸;まる;круг
;まるで;совершенно, совсем
回す;まわす;вертеть, крутить, вращать, рассылать, передавать
回り;まわり;вращение, окружность, оборот, край, бордюр, объезд, через, путём
万一;まんいち;чего доброго, крайний (случай)
満足;まんぞく;удовлетворение, удовлетворенность, достаточность
身;み;тело, сам человек, душа, ум, положение, мякоть, клинок
実;み;семя, плод, фрукт, суть, содержание
見送り;みおくり;проводы, провожающий
味方;みかた;сторонник, союзник, друг
見事;みごと;прекрасный, восхитительный
;ミス;промах, ошибка, неудача, мисс, девушка
満ちる;みちる;наполняться, становиться полным, истекать (о сроке)
密;みつ;тесный, близкий, густой, плотный, подробный, тщательный, секретный
認める;みとめる;признавать, одобрять, разрешать, обнаруживать, полагать
皆;みんな;все, всё
都;みやこ;столица
妙;みょう;чудо, тайна, странное, необычное
明後日;みょうごにち;послезавтра
未来;みらい;будущее
魅力;みりょく;очарование, обаяние, привлекательность
;ミルク;молоко
無;む;ничто, ничего
向かい;むかい;напротив, противоположный
迎え;むかえ;встреча, встречающий
向く;むく;быть обращенным (на что-то), поворачиваться, годиться, подходить
向ける;むける;поворачивать, посылать, направлять, предназначать
無視;むし;игнорирование, не считаться, не обращать внимания
虫歯;むしば;испорченный зуб, кариес
