#name=My Kanji N4
#description=My JLPT N4
KANJI;ONKUN;RUS
引;イン・ひ(く);тянуть, тащить, вести, отступать
弟;テイ・おとうと;младший брат
弱;ジャク・よわ(い)・よわ(る)・よわ(める);слабый, ослабевать, ослаблять
強;キョウ・ゴウ・つよ(い)・つよ(まる)・つよ(める);сильный, усиливаться, усиливать
待;タイ・ま(つ);ждать
心;シン・こころ;сердце, душа
忘;ボウ・わす(れる);забывать
急;キュウ・いそ(ぐ);спешить, срочный
悪;アク・オ・わる(い);плохой, зло, виноватый
意;イ;идея, мысль, мнение
所;ショ・ところ;место
押;オウ・お(す)・おさ(える);давить, толкать, придавить, прикрыть
拾;ジュウ・ひろ(う);подбирать, находить
持;ジ・も(つ);иметь, держать (в руках)
捨;シャ・す(てる);выбрасывать, забрасывать
教;キョウ・おし(える)・おそ(わる);обучать, объяснять, обучаться
文;ブン・モン・ふみ;литература, предложение, письменность, любовное письмо
料;リョウ;плата
方;ホウ・かた;сторона, направление, человек (вежливо)
旅;リョ・たび;путешествие
族;ゾク;семья, народ
早;ソウ・はや(い)・はや(まる)・はや(める);ранний, быстрый, ускоряться, ускорять
明;メイ・ミョウ・あか(るい)・あ(かり);светлый, ясный, открытый, свет
映;エイ・うつ(る)・うつ(す);отражаться, отражать, бросать тень
春;シュン・はる;весна
暑;ショ・あつ(い);жаркий
暗;アン・くら(い);темный, мрачный, несведущий
曜;ヨウ;день недели
服;フク・ふく(する);одежда, подчиняться
村;ソン・むら;деревня
林;リン・はやし;лес, роща
森;シン・もり;лес
業;ギョウ・わざ;промышленность, занятие, профессия, курс
楽;ガク・ラク・たの(しい)・たの(しむ);удовольствие, музыка, приятный, веселиться
歌;カ・うた・うた(う);песня, петь
止;シ・と(める)・と(まる)・や(める)・や(む);останавливать, останавливаться, прекращать, бросать, переставать (о дожде)
正;セイ・ショウ・ただ(しい)・ただ(す)・まさ(に);правильный, исправлять, как раз, точно
死;シ・し(ぬ);смерть, умирать
残;ザン・のこ(る)・のこ(す)・のこり;оставаться, оставлять, остаток
民;ミン・たみ;народ
池;チ・いけ;пруд
決;ケツ・き(める)・き(まる);решать, быть решенным
注;チュウ・そそ(ぐ)・つ(ぐ);комментарий, лить, поливать, впадать (о реке), наливать
泳;エイ・およ(ぐ);плавать
洋;ヨウ;океан
洗;セン・あら(う);мыть, стирать
海;カイ・うみ;море
消;ショウ・け(す)・き(える);гасить, выключать, стирать, гаснуть, таять
漢;カン;Китай
牛;ギュウ・うし;корова
物;ブツ・モツ・もの;вещь, предмет
特;トク・とく(に);особый, в особенности
犬;ケン・いぬ;собака
理;リ・ことわり;принцип, аргумент, основание, уст. причина
産;サン・う(む)・う(まれる);рождать, рождаться
用;ヨウ・もち(いる);употреблять, применять, использовать
田;デン・た;рисовое поле
町;チョウ・まち;город, квартал, улица
画;ガ・カク・え・えが(く);картина, план, рисовать
界;カイ・さかい;сфера, граница
病;ビョウ・や(む);болеть
発;ハツ・はっ(する)・た(つ);испускать, выпускать, публиковать, отправляться, выходить
県;ケン;префектура
真;シン・まこと;правда, истина
着;チャク・ジャク・つ(く)・き(る)・き(せる);прибывать, надевать (одежду), надевать (на кого-л)
短;タン・みじか(い);короткий
研;ケン・と(ぐ);точить, шлифовать
祖;ソ;предок, родоначальник
秋;シュウ・あき;осень
究;キュウ・きわ(める);осваивать, исследовать
第;ダイ;префикс порядковых числительных
答;トウ・こた(え)・こた(える);ответ, отвечать
終;シュウ・おわ(り)・おわ(る)・お(える);конец, заканчиваться, заканчивать
続;ゾク・つづ(く)・つづ(ける);продолжаться, продолжать
線;セン;линия
練;レン・ね(る);тренироваться, практиковаться
習;シュウ・なら(う);учиться
考;コウ・かんが(える);думать, полагать, придумывать
者;シャ・もの;человек, некто
肉;ニク;мясо, плоть
自;ジ・みずか(ら)・おの(ずから);сам, лично, само собой, спонтанно
色;ショク・シキ・いろ;цвет
英;エイ;венчик, Британия
茶;チャ・サ;чай
菜;サイ・な;овощи
落;ラク・お(ちる)・お(とす);падать, ронять
薬;ヤク・くすり;лекарство
親;シン・おや・した(しい)・した(しむ);родители, близкий, сблизиться, подружиться
計;ケイ・はか(る)・はか(らう);измерять, планировать, распоряжаться
試;シ・こころ(みる)・ため(す);проба, испытание, испытывать, проверять
説;セツ・と(く);теория, слухи, версии, объяснять, уговаривать
調;チョウ・しら(べる);тон, выяснять, расследовать
貸;タイ・か(す);одалживать, давать в долг
質;シツ・シチ;качество, характер
起;キ・お(きる)・お(こる)・お(こす);вставать, случаться, будить
転;テン・ころ(がる)・ころ(がす)・ころ(ぶ);поворачиваться, катиться, падать, катить, валить, падать, опрокидываться
軽;ケイ・かる(い);легкий
返;ヘン・かえ(る)・かえ(す);ответ, возвращаться, возвращать
送;ソウ・おく(る);посылать, сопровождать
通;ツウ・とお(る)・とお(り)・とお(す)・かよ(う);проходить, проезд, пропускать, ходить туда-обратно, посещать
連;レン・つら(なる)・つら(ねる)・つ(れる);связь, вытягиваться цепью, ставить в ряд, брать с собой
進;シン・すす(む)・すす(める);продвигаться, продвигать
遅;チ・おそ(い)・おく(れる);поздний, опаздывать
運;ウン・はこ(ぶ);судьба, везти
遠;エン・とお(い);далекий
部;ブ;часть, отдел(ение)
都;ト・ツ・みやこ;столица
重;ジュウ・チョウ・おも(い)・かさ(ねる)・かさ(なる);тяжелый, складывать, быть сложенным
野;ヤ・の;необработанное поле, дикий
鉄;テツ・くろがね;железо
門;モン・かど;ворота
閉;ヘイ・し(める)・し(まる);закрывать, быть закрытым
開;カイ・あ(ける)・あ(く)・ひら(く);открывать, открываться, основывать
降;コウ・ゴ・お(りる)・お(ろす)・ふ(る);спускаться, выходить из транспорта, спускать, выпадать, идти (о дождь етк)
院;イン;учреждение
集;シュウ・あつ(める)・あつ(まる);собирать, собираться
青;セイ・あお・あお(い);голубой, синий,зеленый, бледный
音;オン・イン・おと;звук
頭;トウ・ズ・あたま・かしら・かぶり;голова, сч. суф. для крупных животных
題;ダイ;тема, заглавие
顔;ガン・かお;лицо, выражение лица
風;フウ・かぜ;ветер
飯;ハン・めし;вареный рис, пища
館;カン・やかた;здание, дворец
首;シュ・くび;шея, голова
験;ケン・ゲン・ため(す)・ため(し);испытывать, проверять, испытание, проверка
鳥;チョウ・とり;птица
黒;コク・くろ・くろ(い);черный цвет, черный
