#name=My Vocab N2 (2)
#description=My JLPT N2
JP;JP_KANA;RU
代名詞;だいめいし;местоимение, синоним, пример, поговорка
;タイア;шина, покрышка
;ダイヤグラム;диаграмма, график, схема
;ダイヤモンド;алмаз, бриллиант
;ダイヤル;циферблат, шкала, указатель, телефонный диск
対立;たいりつ;противопоставление, противотечение, расхождение
田植え;たうえ;посадка риса
絶えず;たえず;постоянно, всегда, продолжительно
楕円;だえん;эллипс, овал
高める;たかめる;поднимать, увеличивать
耕す;たがやす;пахать, возделывать
滝;たき;водопад
炊く;たく;готовить, варить
焚く;たく;жечь, сжечь, топить
蓄える;たくわえる;хранить, сберечь, запасти, накопить
竹;たけ;бамбук
助かる;たすかる;быть спасенным, спастись
但し;ただし;но, однако
畳む;たたむ;сложить, закрыть складывая
立ち止まる;たちどまる;останавливаться, замирать
;たちまち;неожиданно, вдруг, мгновенно
建つ;たつ;стоять, подняться, быть воздвигнутым, быть учрежденным
発つ;たつ;отправляться
脱線;だっせん;сход с рельсов, отклонение
妥当;だとう;подобающий, уместный, подходящий
例える;たとえる;сравнивать, уподобить, пояснить наглядным примером, образно выражаться
頼もしい;たのもしい;надежный, заслуживающий доверия
足袋;たび;таби (японские носки)
;ダブル;двойной
騙す;だます;обманывать, сбивать с толку, вводить в заблуждение
溜まる;たまる;собираться, накапливаться
;ダム;дамба, плотина
溜息;ためいき;вздох
躊躇う;ためらう;колебаться, сомневаться, не решаться
溜める;ためる;собирать, накапливать, отложить, оставить недоделанным
;だらしない;неопрятный, неряшливый, неаккуратный, небрежный
足る;たる;быть достаточным, заслуживать, быть довольным
段階;だんかい;ступень, стадия, этап
短期;たんき;краткосрочный
炭鉱;たんこう;каменноугольная шахта
短所;たんしょ;дефект, недостаток, слабое место
箪笥;たんす;комод, шкаф
淡水;たんすい;пресная вода
断水;だんすい;приостановка водоснабжения
単数;たんすう;единственное число
団地;だんち;жилой массив, микрорайон
断定;だんてい;решение, вывод, заключение, утверждение
短編;たんぺん;небольшое произведение
誓う;ちかう;клясться, дать клятву
地下水;ちかすい;подземные воды
近々;ちかぢか;скоро, в ближайшее время
近付ける;ちかづける;приблизить, подпустить, общаться с
近寄る;ちかよる;подходить, быть близко
力強い;ちからづよい;сильный, могущественный
千切る;ちぎる;разорвать, рвать
地質;ちしつ;качества почвы
知人;ちじん;знакомство, знакомый
地帯;ちたい;зона, полоса, пояс, район
縮む;ちぢむ;сжаться, съёжиться, ссохнуться, уменьшиться, сесть (после стирки)
縮める;ちぢめる;сузить, съёжить, укоротить, уменьшить
縮れる;ちぢれる;виться, измяться, морщиться
;チップ;чаевые, чип, чипсы
地点;ちてん;пункт, точка на местности, место
地名;ちめい;название местности, географическое название
茶色い;ちゃいろい;коричневый, светло-коричневый
着々;ちゃくちゃく;постоянно, шаг за шагом, успешно
中間;ちゅうかん;середина, промежуток, промежуточный, посреднический
中旬;ちゅうじゅん;вторая декада месяца
抽象;ちゅうしょう;абстрактный
中世;ちゅうせい;средневековье
中性;ちゅうせい;нейтральный, средний род
中途;ちゅうと;полпути, полдороги
中年;ちゅうねん;средний возраст
超過;ちょうか;превышение
彫刻;ちょうこく;резьба, ваяние, гравировка, скульптура
長所;ちょうしょ;достоинство, преимущество, сильная сторона
長女;ちょうじょ;старшая дочь
調整;ちょうせい;регулирование, настройка
調節;ちょうせつ;регулирование, наладка, настройка
長短;ちょうたん;длина, достоинства и недостатки
頂点;ちょうてん;верх, вершина, апогей, кульминация
長男;ちょうなん;старший сын
長方形;ちょうほうけい;прямоугольник
調味料;ちょうみりょう;приправа
;チョーク;мел
直後;ちょくご;сразу после
直線;ちょくせん;прямая линия
直前;ちょくぜん;непосредственно перед
直通;ちょくつう;прямое сообщение, беспересадочный
直流;ちょくりゅう;постоянный ток
貯蔵;ちょぞう;хранение, сохранение, сбережение
直角;ちょっかく;прямой угол
直径;ちょっけい;диаметр
散らかす;ちらかす;разбрасывать, привести в беспорядок
散らかる;ちらかる;быть в беспорядке, быть разбросанным
散らす;ちらす;разбросать, рассыпать, рассеять, разогнать
塵紙;ちりがみ;салфетка, туалетная бумага
散る;ちる;рассыпаться, осыпаться, опасть, расползтись
追加;ついか;дополнение, прибавка, добавка
序で;ついで;возможность, удобный случай
通貨;つうか;валюта
通勤;つうきん;добираться до работы
通ずる;つうずる;быть знатоком, владеть, хорошо знать, быть понятным, сообщить
通知;つうち;извещение, уведомление, информация
通帳;つうちょう;банковская книжка
通訳;つうやく;устный перевод
通用;つうよう;использование, обращение, употребление, быть в силе
通路;つうろ;проход, дорога, путь
付合う;つきあう;поддерживать знакомство, составлять компанию, встречаться
突き当たり;つきあたり;конец (улицы, прохода)
突き当たる;つきあたる;натыкаться, упираться, дойти до конца
月日;つきひ;время, годы, дата
突く;つく;включаться (свет)
次ぐ;つぐ;следовать за, стоять за
作る・造る;つくる;делать, создавать, производить, конструироваться
着ける;つける;присоединять, добавлять, прикреплять, приклеить, носить
浸ける;つける;включать (свет, электроприбор и т.п.)
伝わる;つたわる;передаваться, сообщиться, распространиться, быть наследованным
突っ込む;つっこむ;сунуть, втолкнуть, вставлять, погрузить, окунуть
務める;つとめる;работать, служить
努める;つとめる;стараться, прилагать усилия, стремиться
綱;つな;канат, верёвка, трос
繋がり;つながり;отношение, связь, родство
繋がる;つながる;быть связанным, быть прикрепленным, быть соединенным, следовать один за другим
繋げる;つなげる;соединять, связывать
粒;つぶ;зерно, зёрнышко, капля
潰す;つぶす;раздавить, убить (время), крушить, ломать, промотать
潰れる;つぶれる;быть раздавленным, быть разрушенным, истратиться, обанкротиться
躓く;つまずく;спотыкаться, оступаться, натыкаться на препятствие
詰まる;つまる;быть засоренным, завалить, заложить, наполниться
積む;つむ;нагромоздить, навалить, скопить, загружать (напр. грузовик)
艶;つや;блеск, глянец, шарм, романтика, молодость
強気;つよき;непоколебимая позиция
釣り合う;つりあう;удержать равновесие, соответствовать, подходить
吊る;つる;повесить, подвесить
吊す;つるす;повесить, подвесить
出合い;であい;столкновение, встреча
手洗い;てあらい;туалет
定員;ていいん;штат, штатный состав, установленное число
定価;ていか;установленная цены
低下;ていか;снижение, падение, угасание
定期券;ていきけん;абонемент, проездной
定休日;ていきゅうび;выходной день
停止;ていし;остановка, задержка, прекращение
停車;ていしゃ;остановка транспорта
停電;ていでん;отключение электричества
出入り;でいり;вход и выход, приход и уход, посещение, приход и расход
出入口;でいりぐち;вход и выход
手入れ;ていれ;ремонт, содержание, обращение, налёт полиции
;テーマ;тема
出来上がり;できあがり;завершение, отделка, качество, работа
出来上がる;できあがる;быть готовым, быть сделанным
的確・適確;てきかく・てっかく;точный, аккуратный, меткий
凸凹;でこぼこ;неровность, неравенство, выступы и впадины
手頃;てごろ;удобный, приемлемый, нормальный
出鱈目;でたらめ;вздорный, сказанный наобум, ненадёжный
手帳;てちょう;записная книжка, блокнот
鉄橋;てっきょう;железнодорожный мост, железный мост
手続き;てつづき;процедура, формальность
鉄砲;てっぽう;ружьё
;テニスコート;теннисный корт
手拭い;てぬぐい;полотенце для рук
出迎え;でむかえ;встреча, приём
出迎える;でむかえる;встречать, пойти навстречу, принимать (гостей)
照らす;てらす;сверкать, освещать, сопоставлять
照る;てる;светить, сиять, светиться
展開;てんかい;развитие, развертывание
伝記;でんき;биография
電球;でんきゅう;электрическая лампочка
点数;てんすう;оценки, баллы, очки
伝染;でんせん;заражение, зараза, инфекция
電池;でんち;батарейка
点々;てんてん;тут и там, местами
転々;てんてん;катиться, скитаться, переходить с места на место
電柱;でんちゅう;столб для электролиний, телеграфный столб
天皇;てんのう;император Японии
電波;でんぱ;электромагнитные волны, радиоволны
;テンポ;темп, быстрота
電流;でんりゅう;электрический ток
電力;でんりょく;электроэнергия, сила тока
問い合わせ;といあわせ;запрос, справка, анкета
銅;どう;медь
統一;とういつ;единство, объединение, союз, совместный
同格;どうかく;одного уровня, того же разряда
峠;とうげ;перевал, перелом, критический момент, кульминационный пункт
統計;とうけい;статистика, статистические данные
動作;どうさ;действия, движения, поведение, манеры
東西;とうざい;восток и запад
当日;とうじつ;назначенный день, тот день
投書;とうしょ;письмо, сообщение в газету (от читателя)
登場;とうじょう;выход на сцену
;どうせ;в любом случае, так или иначе, в конце концов
灯台;とうだい;маяк
盗難;とうなん;кража, воровство
当番;とうばん;дежурство
等分;とうぶん;деление поровну
透明;とうめい;прозрачный
灯油;とうゆ;керосин, гарное масло
東洋;とうよう;восточный, азиатский
童話;どうわ;сказка, рассказ для детей
通り掛かる;とおりかかる;случайно проходить мимо
溶かす;とかす;растворить, расплавить, растопить
尖る;とがる;заостриться, сделаться острым
;どきどき;пульсировать, учащённо биться (про сердце)
溶く;とく;растворить, расплавить, растопить
退く;どく・のく;отойти в сторону, отступиться, оставить (пост)
特殊;とくしゅ;особый, специфические, характерный, своеобразный
特色;とくしょく;особенность, отличительная черта
特長;とくちょう;достоинство, сильная сторона
特定;とくてい;специальный, особо установленный
特売;とくばい;распродажа, продажа по сниженной цене
溶け込む;とけこむ;слиться, соединиться, адаптироваться
溶ける;とける;плавиться, таять, растворяться
退ける;どける・のける;удалять, убирать, исключаться, отложить в сторону
床の間;とこのま;стенная ниша с приподнятым полом и полочками
所々;ところどころ;там и сям, местами, кое-где
都心;としん;сердце города
戸棚;とだな;шкаф, шкафчик, буфер, гардероб
;とっくに;уже давно
;どっと;внезапно, вдруг, сразу
整う;ととのう;быть подготовленным, упорядоченным, приведённым в порядок, налаженным
留まる;とどまる;оставаться, останавливаться
怒鳴る;どなる;кричать, вопить
飛び込む;とびこむ;впрыгивать, влетать, нырнуть, ввязаться
跳ぶ;とぶ;прыгать, летать, мчаться, парить
泊める;とめる;приютить, пустить на ночлег
;ともかく;в любом случае, как бы то ни было, все-таки
捕える;とらえる;поймать, арестовывать, схватить
取り入れる;とりいれる;снять урожай, усвоить, принимать, заимствовать
取り消す;とりけす;отменять, взять назад, аннулировать
取り出す;とりだす;вынуть, выбрать, отобрать
採る;とる;ловить (насекомых), собирать (фрукты), нанимать на работу
捕る;とる;брать, ловить (рыбу)
;トレーニング;тренировка
丼;どんぶり;большая фарфоровая чашка (миска), нашивной карман (рабочего жилета)
内科;ないか;терапия
内線;ないせん;внутренняя линия
;ナイロン;нейлон
治す;なおす;лечить, вылечить
永い;ながい;долгий, долгое время
仲直り;なかなおり;примирение
長引く;ながびく;продлиться, тянуться, затянуться (напр. совещание)
中身・中味;なかみ;содержимое, содержание
中指;なかゆび;средний палец
仲良し;なかよし;близость, близкие отношения, близкий друг
慰める;なぐさめる;утешить, ободрить, развлечь, поддержать
亡くす;なくす;лишиться кого-то из-за смерти
殴る;なぐる;бить, колотить, ударять, шлёпать
為す;なす;сделать, совершить, выполнить
謎々;なぞなぞ;головоломка, тайна, загадка
;なだらか;пологий, не крутой, плавный, спокойный
懐かしい;なつかしい;дорогой, милый
撫でる;なでる;гладить, пригладить
斜め;ななめ;косой, наклонный, диагональный
何しろ;なにしろ;в любом случае, что ни говори, как бы то ни было
何々;なになに;Что?
何分;なにぶん;в любом случае, что ни говори, как бы то ни было, как вам известно
生意気;なまいき;наглый, дерзкий, нахальный, самодовольный, хвастливый
並木;なみき;ряд деревьев (вдоль дороги)
倣う;ならう;подражать, следовать, последовать примеру
鳴らす;ならす;издавать звук, звонить (в колокол), быть знаменитым
生る;なる;приносить плоды, плодоносить
馴れる;なれる;привыкнуть, свыкнуться, освоиться, приучиться, сделаться ручным
南極;なんきょく;Южный полюс, Антарктида
何となく;なんとなく;что-то, как-то, почему-то, ни с того ни с сего
何とも;なんとも;ничего, никак, нисколько
;ナンバー;номер
南米;なんべい;Южная Америка
南北;なんぼく;юг и север
煮える;にえる;свариться, быть сваренным
匂う;におう;пахнуть
逃がす;にがす;освободить, выпустить　на　свободу, отпустить, упустить
憎い;にくい;ненавистный, отвратительный, противный
憎む;にくむ;ненавидеть, питать ненависть
憎らしい;にくらしい;ненавистный, отвратительный, раздражающий
濁る;にごる;становиться мутным, озвончаться 
虹;にじ;радуга
日時;にちじ;дата и время
日用品;にちようひん;предметы повседневного потребления
日課;にっか;урок, домашнее задание, ежедневное занятие
日程;にってい;программа, план, распорядок дня
鈍い;にぶい;тупой
入社;にゅうしゃ;поступление на работу в компанию
女房;にょうぼう;жена
睨む;にらむ;злобно смотреть, уставиться, следить
煮る;にる;варить, тушить
俄;にわか;внезапный, неожиданный
縫う;ぬう;шить, прошить, зашить
濡らす;ぬらす;намочить, увлажнить, окунуть
;ねじ;винт, гайка, болт
捩る;ねじる;вывернуть, повернуть, свернуть, завинчивать, исказить
;ネックレス;ожерелье
熱する;ねっする;нагревать, разогревать, раскалить, возбудиться
寝間着・寝巻;ねまき;пижама, ночная рубашка
狙い;ねらい;цель, прицел, намерение, идея
狙う;ねらう;целиться, нацелиться, наметить, следить
年度;ねんど;год (финансовый, учебный)
農産物;のうさんぶつ;сельскохозяйственная продукция
農村;のうそん;село, деревня
濃度;のうど;концентрация, плотность, густота
農薬;のうやく;ядохимикаты
能率;のうりつ;эффективность, производительность, продуктивность
鋸;のこぎり;пила
残らず;のこらず;все без остатка, целиком, без исключения
載せる;のせる;поместить (в газету), записать, публиковать
覗く;のぞく;выглянуть, подсматривать, заглянуть
延ばす;のばす;откладывать, удлинять (по времени)
延びる;のびる;отсрочить, продолжить, удлинить, расширить, растянуть
上り;のぼり;подъем, восхождение, следование в столицу
上る;のぼる;забираться, поднимать, вознестись, достигнуть
糊;のり;клей
乗換;のりかえ;пересадка (транспортная)
載る;のる;быть помещенным  (напр., в список), быть упомянутым, быть опубликованным
;のろのろ;медленно, вяло
呑気;のんき;беззаботный, беспечный, небрежный
灰色;はいいろ;серый цвет
俳句;はいく;хайку (трёхстишие из стихов в 5—7—5 слогов)
売店;ばいてん;магазин, лавка, киоск
;バイバイ;Пока!
売買;ばいばい;торговля, купля-продажа
這う;はう;ползти
生える;はえる;вырастать, расти, взойти
剥す;はがす;отсоединять, срывать, отодрать, лишить
馬鹿らしい;ばからしい;глупость, абсурд
秤;はかり;весы, безмен
量る・測る;はかる;определять весь, взвешивать
吐き気;はきけ;тошнота
;はきはき;проворно, энергично, быстро
掃く;はく;мести, подметать
歯車;はぐるま;шестерёнка, зубчатое колесо
;バケツ;ведро
挟まる;はさまる;быть зажатым с двух сторон, быть прищемленным, лежать между
挟む;はさむ;зажать, класть между, заложить
梯子;はしご;лестница
始めに;はじめに;для начала, в первую очередь
初めに;はじめに;в начале чего-либо
斜;はす;косой, диагональный, наклонный
外れる;はずれる;выскочить, соскользнуть, отцепиться, отстегнуться
;パターン;образец, шаблон
肌着;はだぎ;нижнее бельё
果して;はたして;как и ожидалось, на самом деле
鉢;はち;(цветочный) горшок, миска, таз
発揮;はっき;обнаружение, проявление, высказать показать
;バック;задний план, фон, подкрепление, задний ход
発射;はっしゃ;выстрел, стрельба, запуск(ракеты)
発想;はっそう;оформления замысла, идея, выразительность, экспрессия
発電;はつでん;выработка электроэнергии
発売;はつばい;поступление в продажу, продажа
派手;はで;кричащий, яркий, пёстрый
話合い;はなしあい;беседа, обсуждение, переговоры
話し掛ける;はなしかける;заговорить, обратиться
話中;はなしちゅう;в процессе разговора, абонент занят (тел. линия)
甚だしい;はなはだしい;чрезмерный, ужасный, огромный, сильный
花火;はなび;фейерверк
花嫁;はなよめ;невеста
放れる;はなれる;покидать, удаляться, освобождаться
羽根;はね;крыло, перо
発条;ばね;пружина, рессора, упругость
跳ねる;はねる;прыгать, скакать, брызнуть, закончиться
破片;はへん;обломок, осколок
歯磨き;はみがき;зубная паста
嵌める・填める・篏める;はめる;вставлять, положить, (разг.) заниматься любовью, завлечь
早口;はやくち;быстрая речь, скороговорка
流行る;はやる;быть популярным, модным, широко распространенным
払い込む;はらいこむ;внести деньги, уплатить
払い戻す;はらいもどす;возвращать деньги, делать возврат
;バランス;баланс, равновесие
針金;はりがね;проволока
張り切る;はりきる;быть в духе, собраться с силами
反映;はんえい;отражение, рефлексия
半径;はんけい;радиус
判子;はんこ;печать (факсимиле)
万歳;ばんざい;Банзай! Ура!
判事;はんじ;судья
反省;はんせい;рефлексия, самоанализ, самопроверка
番地;ばんち;номер дома, адрес
;パンツ;трусы
;バンド;музыкальная группа
半島;はんとう;полуостров
;ハンドル;рычаг, руль
日当たり;ひあたり;солнечный, освещенный солнцем
日帰り;ひがえり;однодневная поездка
比較的;ひかくてき;сравнительно, относительно
日陰;ひかげ;тень
;ぴかぴか;сверкать, блестеть, сиять, мерцать
引受る;ひきうける;принять, взять на себя, гарантировать, поручиться
引返す;ひきかえす;возвращать, повторять
引算;ひきざん;вычитание
引出す;ひきだす;вынимать, вытаскивать, снимать со счёта
引き止める;ひきとめる;сдерживать, задерживать, останавливать
卑怯;ひきょう;трусость, подлость, робость
引分;ひきわけ;ничья
陽射;ひしゃ;солнечный свет, солнечные лучи
肘;ひじ;локоть
;ピストル;пистолет
;ビタミン;витамин
引っ掛かる;ひっかかる;зацепиться, задеть, попасться, быть обманутым, быть вовлечённым
筆記;ひっき;записывание, запись
引っ繰り返す;ひっくりかえす;переворачивать, выворачивать, опрокинуть, переворотить вверх дном
引っ繰り返る;ひっくりかえる;опрокинуться, перевернуться, упасть
引越し;ひっこし;переезд, переселение
引っ込む;ひっこむ;отступать, стоять в стороне, удалиться
筆者;ひっしゃ;автор
必需品;ひつじゅひん;предметы первой необходимости
人差指;ひとさしゆび;указательный палец
一通り;ひととおり;в общих чертах, бегло, вкратце
人通り;ひとどおり;уличное движение (пешеходов)
一先ず;ひとまず;пока что, на время, на минутку
瞳;ひとみ;зрачок
一休み;ひとやすみ;передышка, перерыв
独り言;ひとりごと;разговор с самим собой
独りでに;ひとりでに;само собой, естественно, автоматически
;ビニール;винил
皮肉;ひにく;цинизм, сарказм, ирония, насмешка
日日;ひび;каждый день, изо дня в день,　ежедневно
捻る;ひねる;крутить, закрутить, свернуть, наклонить
日の入り;ひのいり;закат
日の出;ひので;восход
響き;ひびき;звук, звон, грохот, шум, эхо, вибрация, воздействие, влияние
響く;ひびく;звучать, звенеть, грохотать, отдаваться эхом, повлиять
皮膚;ひふ;кожа
冷やす;ひやす;охлаждать, остужать, замораживать
百科事典;ひゃっかじてん;энциклопедия
美容;びよう;красивая внешность
表紙;ひょうし;обложка, папка, переплёт
標識;ひょうしき;опознавательный знак, буй
標準;ひょうじゅん;стандарт, уровень, норма, критерий
標本;ひょうほん;образец, модель, экспонат
評論;ひょうろん;критика, рецензия, критический обзор
;ビルディング;здание
昼寝;ひるね;дневной сон
広げる;ひろげる;расширять, распространять, развернуть
広さ;ひろさ;ширина, протяжённость, площадь чего-л.
広場;ひろば;большая площадь
広々;ひろびろ;широкий, просторный, обширный
広める;ひろめる;расширять, распространять, довести до всеобщего сведения
;ピンク;розовый
便箋;びんせん;почтовая бумага, писчая бумага
瓶詰;びんづめ;хранить в бутылке, бутилирование
;ファスナー;застежка-молния
風船;ふうせん;воздушный шар, аэростат
不運;ふうん;неудача, несчастье
殖える;ふえる;увеличиваться, вырасти
深まる;ふかまる;углубляться, усиливаться
不規則;ふきそく;нерегулярность, неправильность, несистематичность
普及;ふきゅう;распространение
付近;ふきん;окрестности, соседство
拭く;ふく;вытереть, стереть, вычистить, утереться
副詞;ふくし;наречие
複写;ふくしゃ;копия, репродукция
複数;ふくすう;множественное число
含める;ふくめる;включать (в себя), дать указания
膨らます;ふくらます;надувать, расширять, взбить
膨らむ;ふくらむ;расширяться, надуваться, набухать
不潔;ふけつ;грязный, нечистый
更ける;ふける;становиться позднее, продвигаться
符号;ふごう;знак, символ, код, условный знак
夫妻;ふさい;муж и жена, супружеская пара
塞がる;ふさがる;быть заслоненным, заблокированным, заткнутым, загроможденным
塞ぐ;ふさぐ;закрывать, блокировать, затыкать, заслонять, засорять
巫山戯る;ふざける;шутить, шалить, заигрывать, флиртовать
武士;ぶし;воин, самурай, боец
部首;ぶしゅ;иероглифический ключ
襖;ふすま;фусума (раздвижные бумажные двери)
附属;ふぞく;включенный, присоединённый, прикреплённый, привязанный
蓋;ふた;крышка, покрышка
不通;ふつう;прекращение сообщения (поездов), перерыв в движении
;ぶつかる;налететь, наткнуться, попасться
;ぶつける;сталкивать, удариться, швырнуть
物騒;ぶっそう;беспокойный, тревожный, опасный
;ぶつぶつ;ворчать, жаловаться, бормотать, сыпь
船便;ふなびん;морская почта, пароходное сообщение
部品;ぶひん;составные части, деталь, запчасти
吹雪;ふぶき;метель, пурга, вьюга
父母;ふぼ;отец и мать, родители
踏切;ふみきり;ж/д переезд, переход, отталкивание, место трамплина
麓;ふもと;подошва, подножие
増やす;ふやす;увеличивать, прибавлять, расширять
;フライパン;сковорода
;ブラウス;блузка
;ぶらさげる;висеть, болтаться, свешиваться
;ブラシ;щётка, кисть
;プラスチック;пластик
;プラットホーム;платформа
;フリー;свободный, вольный
振り仮名;ふりがな;фуригана
;プリント;распечатка, печать, печатный оттиск
振舞う;ふるまう;вести себя
;ブローチ;брошь
;プログラム;компьютерная программа 
風呂敷;ふろしき;фуросики (цветной платок для завязывания в него вещей)
;ふわふわ;мягкий, нежный, непостоянный, колеблющийся
噴火;ふんか;извержение (вулкана)
分解;ぶんかい;расщепление, разложение, демонтаж, анализ
文芸;ぶんげい;художественная литература
文献;ぶんけん;литература, список книг (в библиографии), документы
噴水;ふんすい;фонтан
分数;ぶんすう;дробь
文体;ぶんたい;литературный стиль, стилистика
分布;ぶんぷ;распределение, расположение, распространение
文房具;ぶんぼうぐ;канцелярские принадлежности
文脈;ぶんみゃく;контекст, связь слов и предложений
分量;ぶんりょう;количество, доза
分類;ぶんるい;классификация, сортировка
閉会;へいかい;закрытие, окончание (церемонии, собрания и т.п.)
平気;へいき;спокойный, невозмутимый, хладнокровный, равнодушный
並行;へいこう;параллелизм
平日;へいじつ;будни
兵隊;へいたい;солдат, войска
平凡;へいぼん;обычный, тривиальный, заурядный, посредственный
平野;へいや;равнина, открытое поле
凹む;へこむ;вгибаться, оседать, поддаваться (при нажатии), струсить
臍;へそ;пуп, пупок
隔てる;へだてる;разделить, загородить, отдалить
別荘;べっそう;дача, загородный дом
別々;べつべつ;отдельный, раздельный
;ベテラン;ветеран, опытный работник
;ヘリコプター;вертолёт
;ぺん;ручка, перо, литературный труды
編集;へんしゅう;редактирование, составление, приготовление к печати
便所;べんじょ;туалет
;ペンチ;щипцы, плоскогубцы, клещи
望遠鏡;ぼうえんきょう;телескоп
方角;ほうがく;направление
箒;ほうき;метла, веник
方言;ほうげん;диалект
坊さん;ぼうさん;буддийский монах
防止;ぼうし;предотвращение
方針;ほうしん;курс, направление, политическая линия, план
包装;ほうそう;упаковка
法則;ほうそく;правило, закон
包帯;ほうたい;повязка, перевязка, бинт
膨大;ぼうだい;огромный, массивный
庖丁;ほうちょう;кухонный нож
方程式;ほうていしき;уравнение, формула
防犯;ぼうはん;предотвращение совершения преступления
方面;ほうめん;направление, местность, сторона, сфера, область (изучения)
坊や;ぼうや;мальчик
放る;ほうる;кидать, бросать, оставить
;ボーナス;бонус, премия
朗らか;ほがらか;яркий, жизнерадостный, веселый
牧場;ぼくじょう;скотоводческая ферма, ранчо, пастбище
牧畜;ぼくちく;скотоводство
保健;ほけん;здравоохранение, гигиена, санитария
募集;ぼしゅう;набор, призыв, вербовка
干す;ほす;высушить, проветрить, провялить, опорожнить
;ポスター;афиша, плакат, объявление
北極;ほっきょく;Северный Полюс
坊っちゃん;ぼっちゃん;мальчик, неопытный человек, (чей-то) сын
解く;ほどく;развязать, расстегнуть, распустить, распутать
堀;ほり;ров, канал, канава, траншея, окоп
掘る;ほる;копать, вырыть, бурить
彫る;ほる;вырезать, гравировать, делать татуировку
;ぼろ;лохмотья, тряпки, рухлядь, недостатки
盆;ぼん;поднос
盆地;ぼんち;котловина, низина, впадина
本部;ほんぶ;штаб, главное управление, дивизия
本来;ほんらい;изначально, первоначально, в основе
;まあまあ;так себе, не очень
枚数;まいすう;число страниц, листаж, объем
毎度;まいど;каждый раз, всегда, постоянно
;マイナス;минус
巻く;まく;свернуть, скатать, намотать, скрутить
蒔く;まく;сеять
撒く;まく;разбросать, рассеять, разбрызгать
枕;まくら;подушка, валик
曲げる;まげる;сгибать, искривлять, наклонять, поворачивать, искажать
;まごまご;смущаться, быть в замешательстве
摩擦;まさつ;трение, тереть, конфликты, разногласия
混ざる・混じる;まざる・まじる;быть смешанным (перемешанным), быть примешанным, быть разбавленным
;マスク;маска, противогаз
混ぜる・交ぜる;まぜる;перемешивать (без слияния компонентов)
跨ぐ;またぐ;перешагивать, переступать
待合室;まちあいしつ;зал ожидания, комната ожидания
待ち合わせる;まちあわせる;встретиться, ждать кого-то
街角;まちかど;угол улицы
真っ暗;まっくら;совершенно тёмный
真っ黒;まっくろ;чёрный как смоль
真っ青;まっさお;тёмно-синий, бледный (цвет лица)
真っ先;まっさき;в первую очередь,прежде всего
真っ白;まっしろ;белоснежный
祭る;まつる;обожествлять, поклоняться
窓口;まどぐち;окошко (кассы, информационного бюро и т.п.)
纏まる;まとまる;быть улаженным, объединенным, упорядоченным, законченным
纏める;まとめる;привести в порядок, довести до конца, уладить, собрать
